rk,team,str,ofs,dfs,sos
1,Leeds United,0.67,0.26,-0.41,-0.03
2,Brentford,0.64,0.29,-0.34,-0.03
3,West Bromwich Albion,0.39,0.18,-0.20,-0.02
4,Watford,0.29,-0.03,-0.32,-0.24
5,Wigan Athletic,0.27,0.12,-0.15,-0.01
6,Millwall,0.20,-0.01,-0.21,0.00
7,Swansea City,0.20,0.04,-0.16,-0.03
8,Fulham,0.18,0.05,-0.14,-0.01
9,Blackburn Rovers,0.17,0.23,0.06,-0.02
10,Cardiff City,0.15,0.13,-0.02,-0.01
11,Bournemouth,0.11,0.07,-0.04,0.00
12,Norwich City,0.08,0.03,-0.05,-0.18
13,Reading,0.07,0.08,0.01,-0.01
14,Stoke City,-0.01,0.06,0.06,0.00
15,Queens Park Rangers,-0.03,0.13,0.16,0.00
16,Coventry City,-0.04,-0.02,0.02,-0.15
17,Derby County,-0.04,0.12,0.17,0.00
18,Rotherham United,-0.05,-0.09,-0.04,-0.30
19,Preston North End,-0.06,-0.03,0.03,0.01
20,Nottingham Forest,-0.07,-0.06,0.01,0.00
21,Bristol City,-0.12,0.01,0.13,0.00
22,Middlesbrough,-0.17,-0.09,0.08,0.01
23,Luton Town,-0.24,-0.02,0.22,0.01
24,Sheffield Wednesday,-0.29,-0.08,0.21,0.02
25,Huddersfield Town,-0.30,-0.11,0.20,0.03
26,Birmingham City,-0.30,-0.09,0.22,0.03
27,Barnsley,-0.32,-0.21,0.11,0.01
28,Charlton Athletic,-0.34,-0.17,0.17,0.01
29,Hull City,-0.64,-0.14,0.50,0.03
30,Wycombe Wanderers,-0.80,-0.28,0.51,0.10
