rk,team,str,ofs,dfs,sos
1,Man City,1.40,0.69,-0.71,0.02
2,Man Utd,0.58,0.42,-0.15,0.06
3,Leicester,0.47,0.30,-0.17,0.07
4,Arsenal,0.43,0.18,-0.25,0.09
5,Chelsea,0.41,0.31,-0.10,0.07
6,Liverpool,0.32,0.31,-0.01,0.10
7,West Ham,0.29,0.27,-0.02,0.08
8,Spurs,0.24,0.16,-0.09,0.10
9,Leeds,0.09,0.27,0.18,0.07
10,Everton,0.09,0.14,0.06,0.10
11,Aston Villa,0.02,0.06,0.04,0.06
12,Wolves,-0.02,-0.10,-0.08,0.09
13,Burnley,-0.05,-0.21,-0.16,0.11
14,Brighton,-0.11,-0.17,-0.06,0.09
15,Fulham,-0.18,-0.26,-0.08,0.10
16,Watford,-0.20,0.00,0.20,0.12
17,Crystal Palace,-0.34,-0.13,0.21,0.12
18,Bournemouth,-0.38,-0.05,0.33,0.13
19,Southampton,-0.38,-0.09,0.30,0.13
20,Newcastle,-0.44,-0.18,0.26,0.11
21,Sheffield Utd,-0.48,-0.38,0.10,0.11
22,West Brom,-0.67,-0.25,0.42,0.17
23,Norwich,-0.91,-0.61,0.31,0.10
