rk,team,str,ofs,dfs,sos
1,Atlético de Madrid,0.81,0.32,-0.49,0.05
2,Real Madrid,0.80,0.48,-0.32,0.06
3,FC Barcelona,0.75,0.56,-0.19,0.07
4,Sevilla FC,0.45,0.24,-0.21,0.07
5,Villarreal CF,0.35,0.31,-0.04,0.08
6,Real Sociedad,0.35,0.25,-0.10,0.07
7,Granada CF,0.16,0.17,0.00,0.09
8,Getafe CF,0.07,-0.06,-0.14,0.09
9,Athletic Club,0.06,0.03,-0.04,0.08
10,Valencia CF,0.04,0.14,0.10,0.10
11,Levante UD,-0.01,0.11,0.12,0.10
12,RC Celta,-0.02,0.03,0.05,0.10
13,C.A. Osasuna,-0.09,0.01,0.11,0.11
14,SD Eibar,-0.11,-0.11,0.01,0.09
15,Deportivo Alavés,-0.13,-0.19,-0.06,0.13
16,Elche CF,-0.16,-0.17,-0.01,0.07
17,Real Betis,-0.18,0.05,0.23,0.11
18,Rayo Vallecano,-0.20,0.02,0.22,0.09
19,CD Leganés,-0.21,-0.20,0.01,0.11
20,Real Valladolid CF,-0.22,-0.07,0.15,0.14
21,SD Huesca,-0.23,-0.07,0.16,0.10
22,Cádiz CF,-0.23,-0.17,0.06,0.21
23,RCD Espanyol,-0.24,-0.15,0.09,0.11
24,R. Valladolid CF,-0.25,-0.24,0.01,0.11
25,RCD Mallorca,-0.26,-0.04,0.22,0.12
26,Girona FC,-0.26,-0.10,0.16,0.10
27,CA Osasuna,-0.40,-0.22,0.18,0.12
28,D. Alavés,-0.42,-0.21,0.22,0.12
