186622,2005,dutch+eredivisie,149,FCEE33,Roda JC Kerkrade,594,000099,Liberec
186634,2005,dutch+eredivisie,594,C8142F,Liberec,149,FCEE33,Roda JC Kerkrade
187421,2005,dutch+eredivisie,94,1a1a1a,Valencia,149,FCEE33,Roda JC Kerkrade
187427,2005,dutch+eredivisie,149,FCEE33,Roda JC Kerkrade,94,1a1a1a,Valencia
187480,2005,dutch+eredivisie,139,DF1B27,Ajax Amsterdam,2726,307B64,ADO Den Haag
187482,2005,dutch+eredivisie,140,C60C21,AZ Alkmaar,151,000099,Sparta Rotterdam
187503,2005,dutch+eredivisie,3708,000000,SC Heracles Almelo,148,D3233A,PSV Eindhoven
187504,2005,dutch+eredivisie,149,FCEE33,Roda JC Kerkrade,152,F31522,Twente Enschede
187505,2005,dutch+eredivisie,154,FFE64B,Vitesse Arnhem,146,535A96,Heerenveen
187506,2005,dutch+eredivisie,156,F80017,Willem II Tilburg,155,FCFC79,RKC Waalwijk
187705,2005,dutch+eredivisie,145,4F9F64,FC Groningen,150,E96B05,RBC Roosendaal
187706,2005,dutch+eredivisie,142,CF010E,Feyenoord Rotterdam,141,FFEC80,NAC Breda
187707,2005,dutch+eredivisie,147,357567,NEC Nijmegen,153,D1241D,FC Utrecht
187721,2005,dutch+eredivisie,575,C8142F,Brøndby,139,000099,Ajax Amsterdam
187771,2005,dutch+eredivisie,139,DF1B27,Ajax Amsterdam,575,000099,Brøndby
187795,2005,dutch+eredivisie,146,535A96,Heerenveen,149,FCEE33,Roda JC Kerkrade
187796,2005,dutch+eredivisie,141,FFEC80,NAC Breda,156,F80017,Willem II Tilburg
187812,2005,dutch+eredivisie,2726,307B64,ADO Den Haag,3708,000000,SC Heracles Almelo
187813,2005,dutch+eredivisie,152,F31522,Twente Enschede,147,357567,NEC Nijmegen
187814,2005,dutch+eredivisie,150,E96B05,RBC Roosendaal,139,DF1B27,Ajax Amsterdam
187824,2005,dutch+eredivisie,153,D1241D,FC Utrecht,140,000099,AZ Alkmaar
187825,2005,dutch+eredivisie,148,D3233A,PSV Eindhoven,154,FFE64B,Vitesse Arnhem
187826,2005,dutch+eredivisie,155,FCFC79,RKC Waalwijk,145,4F9F64,FC Groningen
187827,2005,dutch+eredivisie,151,de292e,Sparta Rotterdam,142,000099,Feyenoord Rotterdam
188287,2005,dutch+eredivisie,146,535A96,Heerenveen,149,FCEE33,Roda JC Kerkrade
188288,2005,dutch+eredivisie,147,357567,NEC Nijmegen,155,FCFC79,RKC Waalwijk
188289,2005,dutch+eredivisie,151,de292e,Sparta Rotterdam,141,FFEC80,NAC Breda
188290,2005,dutch+eredivisie,154,FFE64B,Vitesse Arnhem,140,C60C21,AZ Alkmaar
188291,2005,dutch+eredivisie,139,DF1B27,Ajax Amsterdam,142,000099,Feyenoord Rotterdam
188292,2005,dutch+eredivisie,149,FCEE33,Roda JC Kerkrade,148,D3233A,PSV Eindhoven
188294,2005,dutch+eredivisie,2726,307B64,ADO Den Haag,146,C60000,Heerenveen
188322,2005,dutch+eredivisie,153,D1241D,FC Utrecht,152,000099,Twente Enschede
188323,2005,dutch+eredivisie,3708,000000,SC Heracles Almelo,145,4F9F64,FC Groningen
188324,2005,dutch+eredivisie,150,E96B05,RBC Roosendaal,156,F80017,Willem II Tilburg
188362,2005,dutch+eredivisie,139,DF1B27,Ajax Amsterdam,2726,307B64,ADO Den Haag
188745,2005,dutch+eredivisie,148,D3233A,PSV Eindhoven,133,0000dd,Schalke 04
188755,2005,dutch+eredivisie,433,791b29,Sparta Prague,139,DF1B27,Ajax Amsterdam
188762,2005,dutch+eredivisie,139,DF1B27,Ajax Amsterdam,359,ffff00,Arsenal
188768,2005,dutch+eredivisie,436,ffff00,Fenerbahce,148,D3233A,PSV Eindhoven
188779,2005,dutch+eredivisie,139,DF1B27,Ajax Amsterdam,3024,000099,FC Thun
188784,2005,dutch+eredivisie,103,C8142F,AC Milan,148,000099,PSV Eindhoven
188792,2005,dutch+eredivisie,148,D3233A,PSV Eindhoven,103,1a1a1a,AC Milan
188802,2005,dutch+eredivisie,3024,C8142F,FC Thun,139,000099,Ajax Amsterdam
188811,2005,dutch+eredivisie,139,DF1B27,Ajax Amsterdam,433,791b29,Sparta Prague
188817,2005,dutch+eredivisie,133,0000dd,Schalke 04,148,D3233A,PSV Eindhoven
188824,2005,dutch+eredivisie,148,D3233A,PSV Eindhoven,436,ffff00,Fenerbahce
188834,2005,dutch+eredivisie,359,EF0107,Arsenal,139,000099,Ajax Amsterdam
188858,2005,dutch+eredivisie,139,DF1B27,Ajax Amsterdam,149,FCEE33,Roda JC Kerkrade
188859,2005,dutch+eredivisie,142,CF010E,Feyenoord Rotterdam,545,803033,Rapid Bucuresti
188863,2005,dutch+eredivisie,3850,6c7ad3,Krylia Sovetov ,140,C60C21,AZ Alkmaar
188864,2005,dutch+eredivisie,139,DF1B27,Ajax Amsterdam,3708,000000,SC Heracles Almelo
188872,2005,dutch+eredivisie,139,DF1B27,Ajax Amsterdam,152,000099,Twente Enschede
188877,2005,dutch+eredivisie,2959,C8142F,Banik Ostrava,146,535A96,Heerenveen
188880,2005,dutch+eredivisie,174,E91514,AS Monaco,156,000099,Willem II Tilburg
188901,2005,dutch+eredivisie,545,803033,Rapid Bucuresti,142,CF010E,Feyenoord Rotterdam
