rk,team,league,str,ofs,dfs,sos
1,Barcelona,Spanish Primera División,5.238,2.942,0.562,1.483
2,Bayern Munich,German Bundesliga,5.172,2.556,0.494,1.441
3,Real Madrid,Spanish Primera División,4.318,2.627,0.608,1.495
4,Paris Saint-Germain,French Ligue 1,4.282,2.276,0.531,1.322
5,Atletico Madrid,Spanish Primera División,4.097,1.945,0.475,1.480
6,Chelsea,English Premier League,3.955,2.171,0.549,1.387
7,Tottenham Hotspur,English Premier League,3.924,2.076,0.529,1.406
8,AS Monaco,French Ligue 1,3.722,2.469,0.663,1.332
9,Manchester City,English Premier League,3.700,2.183,0.590,1.444
10,Arsenal,English Premier League,3.523,2.325,0.660,1.400
11,Liverpool,English Premier League,3.508,2.072,0.591,1.366
12,Manchester United,English Premier League,3.448,1.868,0.542,1.384
13,Juventus,Italian Serie A,3.431,1.849,0.539,1.348
14,Borussia Dortmund,German Bundesliga,3.260,2.010,0.616,1.450
15,AS Roma,Italian Serie A,3.003,1.952,0.650,1.279
16,TSG Hoffenheim,German Bundesliga,2.973,1.841,0.619,1.391
17,Boca Juniors,Primera División de Argentina,2.918,1.725,0.591,1.319
18,Palmeiras,Futebol Brasileiro,2.903,1.722,0.593,1.337
19,Santos FC,Futebol Brasileiro,2.891,1.744,0.603,1.352
20,Sevilla FC,Spanish Primera División,2.871,1.800,0.627,1.503
21,Everton,English Premier League,2.830,1.752,0.619,1.408
22,FC Porto,Portuguese Liga,2.809,1.658,0.590,1.187
23,Estudiantes La Plata,Primera División de Argentina,2.803,1.618,0.577,1.308
24,Lyon,French Ligue 1,2.796,1.955,0.699,1.325
25,RB Leipzig,German Bundesliga,2.782,1.825,0.656,1.386
26,Napoli,Italian Serie A,2.713,2.002,0.738,1.320
27,Villarreal,Spanish Primera División,2.697,1.497,0.555,1.432
28,Lanús,Primera División de Argentina,2.695,1.601,0.594,1.335
29,Schalke 04,German Bundesliga,2.638,1.669,0.633,1.357
30,Eibar,Spanish Primera División,2.615,1.811,0.693,1.453
31,Celta Vigo,Spanish Primera División,2.557,1.751,0.685,1.407
32,Lazio,Italian Serie A,2.554,1.698,0.665,1.295
33,Real Sociedad,Spanish Primera División,2.545,1.730,0.680,1.468
34,Athletic Bilbao,Spanish Primera División,2.479,1.538,0.620,1.441
35,Pachuca,Mexican Liga MX,2.474,1.705,0.689,1.272
36,Atlético Nacional,Fútbol Profesional Colombiano,2.470,1.608,0.651,1.192
37,Espanyol,Spanish Primera División,2.459,1.605,0.653,1.443
38,Atlético MG,Futebol Brasileiro,2.433,1.734,0.713,1.336
39,Zenit St Petersburg,Russian Premier League,2.427,1.680,0.692,1.183
40,Alavés,Spanish Primera División,2.417,1.407,0.582,1.429
41,Benfica,Portuguese Liga,2.379,1.636,0.688,1.182
42,River Plate,Primera División de Argentina,2.373,1.738,0.732,1.305
43,U.A.N.L,Mexican Liga MX,2.371,1.469,0.620,1.269
44,Atalanta,Italian Serie A,2.363,1.630,0.690,1.287
45,FC Cologne,German Bundesliga,2.362,1.592,0.674,1.399
46,Flamengo,Futebol Brasileiro,2.362,1.532,0.649,1.310
47,Corinthians,Futebol Brasileiro,2.327,1.507,0.648,1.333
48,Las Palmas,Spanish Primera División,2.323,1.771,0.762,1.464
49,Rosario Central,Primera División de Argentina,2.323,1.531,0.659,1.324
50,Independiente,Primera División de Argentina,2.284,1.227,0.537,1.330
51,Southampton,English Premier League,2.275,1.400,0.615,1.418
52,Talleres de Córdoba,Primera División de Argentina,2.272,1.299,0.572,1.247
53,Bayer Leverkusen,German Bundesliga,2.259,1.695,0.750,1.448
54,Racing Club,Primera División de Argentina,2.251,1.722,0.765,1.332
55,Monterrey,Mexican Liga MX,2.240,1.786,0.797,1.298
56,Hertha Berlin,German Bundesliga,2.226,1.528,0.686,1.376
57,Borussia Monchengladbach,German Bundesliga,2.213,1.547,0.699,1.397
58,Atlético Paranaense,Futebol Brasileiro,2.211,1.268,0.574,1.360
59,Nice,French Ligue 1,2.206,1.489,0.675,1.299
