BEGIN
CREATE TABLE
INSERT 0 649
 rk  |            team            |              league               |  str  |  ofs  |  dfs  |  sos  
-----+----------------------------+-----------------------------------+-------+-------+-------+-------
   1 | Manchester City            | English Premier League            | 4.147 | 2.532 | 0.611 | 1.245
   2 | Barcelona                  | Spanish Primera División          | 3.566 | 2.463 | 0.691 | 1.358
   3 | North Carolina Courage     | United States NWSL Women's League | 3.562 | 2.103 | 0.590 | 1.442
   4 | Liverpool                  | English Premier League            | 3.530 | 2.131 | 0.604 | 1.297
   5 | Bayern Munich              | German Bundesliga                 | 2.941 | 2.190 | 0.745 | 1.272
   6 | Paris Saint-Germain        | French Ligue 1                    | 2.939 | 2.296 | 0.781 | 1.197
   7 | Borussia Dortmund          | German Bundesliga                 | 2.749 | 2.021 | 0.735 | 1.249
   8 | Chicago Red Stars          | United States NWSL Women's League | 2.703 | 1.822 | 0.674 | 1.471
   9 | Tottenham Hotspur          | English Premier League            | 2.677 | 2.017 | 0.753 | 1.277
  10 | Juventus                   | Italian Serie A                   | 2.641 | 1.754 | 0.664 | 1.225
  11 | Chelsea                    | English Premier League            | 2.559 | 1.739 | 0.680 | 1.250
  12 | Atletico Madrid            | Spanish Primera División          | 2.547 | 1.674 | 0.657 | 1.340
  13 | Reign FC                   | United States NWSL Women's League | 2.546 | 1.703 | 0.669 | 1.463
  14 | Real Madrid                | Spanish Primera División          | 2.522 | 1.924 | 0.763 | 1.342
  15 | Portland Thorns FC         | United States NWSL Women's League | 2.517 | 1.828 | 0.727 | 1.477
  16 | Sevilla FC                 | Spanish Primera División          | 2.440 | 1.783 | 0.731 | 1.355
  17 | Getafe                     | Spanish Primera División          | 2.329 | 1.514 | 0.650 | 1.356
  18 | Houston Dash               | United States NWSL Women's League | 2.326 | 1.865 | 0.802 | 1.471
  19 | Albirex Niigata            | Singaporean Premier League        | 2.319 | 2.007 | 0.865 | 1.155
  20 | Manchester United          | English Premier League            | 2.292 | 1.769 | 0.772 | 1.304
  21 | Arsenal                    | English Premier League            | 2.245 | 1.925 | 0.857 | 1.241
  22 | Valencia                   | Spanish Primera División          | 2.230 | 1.475 | 0.661 | 1.343
  23 | Napoli                     | Italian Serie A                   | 2.206 | 1.622 | 0.735 | 1.221
  24 | Eintracht Frankfurt        | German Bundesliga                 | 2.205 | 1.873 | 0.850 | 1.262
  25 | RB Leipzig                 | German Bundesliga                 | 2.199 | 1.604 | 0.729 | 1.228
