rk,lg,str,ofs,dfs
1,Spanish Primera División,0.947,0.511,0.437
2,English Premier League,0.914,0.494,0.419
3,German Bundesliga,0.760,0.451,0.309
4,Futebol Brasileiro,0.746,0.391,0.355
5,Italian Serie A,0.677,0.366,0.310
6,Primera División de Argentina,0.665,0.314,0.351
7,French Ligue 1,0.650,0.311,0.338
8,Mexican Liga MX,0.581,0.345,0.237
9,Russian Premier League,0.531,0.249,0.281
10,Japanese J League,0.471,0.282,0.188
11,Fútbol Profesional Colombiano,0.408,0.196,0.212
12,Portuguese Liga,0.369,0.180,0.189
13,English League Championship,0.304,0.181,0.123
14,Spanish Segunda Division,0.293,0.141,0.151
15,Nacional B de Argentina,0.293,0.082,0.212
16,Turkish Super Lig,0.290,0.177,0.113
17,Primera Division B de Argentina,0.280,0.048,0.232
18,Primera División de Paraguay,0.259,0.165,0.094
19,Primera División de Uruguay,0.231,0.169,0.062
20,Primera A de Ecuador,0.231,0.124,0.107
21,Brasileirao B,0.222,0.136,0.086
22,French Ligue 2,0.219,0.096,0.123
23,Primera División de Chile,0.213,0.183,0.030
24,Major League Soccer,0.205,0.156,0.049
25,Dutch Eredivisie,0.148,0.169,-0.020
26,Chinese Super League,0.129,0.108,0.021
27,Indian Super League,0.110,0.110,0.000
28,Swiss Super League,0.090,0.125,-0.035
29,Greek Super League,0.087,-0.001,0.088
30,Belgian Jupiler League,0.079,0.091,-0.012
31,German 2. Bundesliga,0.024,0.056,-0.031
32,Ascenso MX,0.000,0.000,0.000
33,Israeli Premier League,-0.006,-0.042,0.036
34,Austrian Bundesliga,-0.036,0.040,-0.076
35,Danish SAS-Ligaen,-0.094,0.005,-0.098
36,Australian A-League,-0.105,0.010,-0.115
37,English League One,-0.127,-0.025,-0.102
38,Liga Profesional Boliviana,-0.149,0.027,-0.176
39,Primera Division C de Argentina,-0.153,-0.154,0.000
40,Italian Serie B,-0.226,-0.123,-0.103
41,Scottish Premiership,-0.228,-0.082,-0.146
42,Norwegian Tippeligaen,-0.250,-0.045,-0.205
43,Primera Profesional de Perú,-0.276,-0.125,-0.151
44,Swedish Allsvenskanliga,-0.286,-0.093,-0.193
45,Primera División de Venezuela,-0.296,-0.145,-0.151
46,Romanian First Division,-0.314,-0.193,-0.121
47,English League Two,-0.396,-0.173,-0.222
48,Primera Division D de Argentina,-0.472,-0.272,-0.200
49,Dutch Eeerste Divisie,-0.597,-0.189,-0.408
50,Liga Nacional de Guatemala,-0.674,-0.326,-0.348
51,Primera División de El Salvador,-0.778,-0.382,-0.396
52,English National League,-0.819,-0.361,-0.458
53,Scottish Championship,-0.997,-0.455,-0.543
54,Maltese Premier League,-1.036,-0.562,-0.474
55,League of Ireland Premier Division,-1.169,-0.560,-0.608
56,Scottish League One,-1.630,-0.713,-0.916
57,Welsh Premier League,-1.647,-0.720,-0.927
58,South African Premiership,-1.778,-0.931,-0.847
59,Thai Premier League,-1.894,-0.847,-1.047
60,Northern Irish Premiership,-2.029,-0.915,-1.114
61,Scottish League Two,-2.094,-0.959,-1.135
