     team     | p  | w  | d  | l  | gf | ga | gd  | pts 
--------------+----+----+----+----+----+----+-----+-----
 Sheff Utd    | 31 | 19 |  6 |  6 | 58 | 34 |  24 |  63
 Scunthorpe   | 30 | 17 |  7 |  6 | 57 | 32 |  25 |  58
 Bolton       | 29 | 16 |  6 |  7 | 41 | 23 |  18 |  54
 Fleetwood To | 31 | 14 | 10 |  7 | 44 | 31 |  13 |  52
 Bradford     | 31 | 12 | 15 |  4 | 39 | 27 |  12 |  51
 Millwall     | 30 | 13 |  8 |  9 | 45 | 40 |   5 |  47
 Rochdale     | 29 | 14 |  5 | 10 | 41 | 36 |   5 |  47
 Southend     | 30 | 12 | 10 |  8 | 43 | 37 |   6 |  46
 Peterborough | 30 | 12 |  8 | 10 | 43 | 38 |   5 |  44
 Bristol Rov  | 31 | 12 |  8 | 11 | 49 | 51 |  -2 |  44
 Oxford Utd   | 29 | 12 |  7 | 10 | 37 | 31 |   6 |  43
 Walsall      | 31 | 10 | 12 |  9 | 39 | 43 |  -4 |  42
 Charlton     | 29 |  9 | 14 |  6 | 37 | 29 |   8 |  41
 MK Dons      | 30 | 10 |  8 | 12 | 40 | 39 |   1 |  38
 AFC Wimbledo | 29 |  9 | 11 |  9 | 39 | 38 |   1 |  38
 Northampton  | 31 | 10 |  6 | 15 | 46 | 51 |  -5 |  36
 Shrewsbury   | 31 |  9 |  8 | 14 | 31 | 42 | -11 |  35
 Gillingham   | 30 |  8 | 10 | 12 | 38 | 47 |  -9 |  34
 Port Vale    | 29 |  8 |  9 | 12 | 32 | 46 | -14 |  33
 Oldham       | 31 |  7 | 10 | 14 | 20 | 33 | -13 |  31
 Bury         | 31 |  8 |  6 | 17 | 48 | 60 | -12 |  30
 Swindon      | 31 |  7 |  8 | 16 | 28 | 45 | -17 |  29
 Chesterfield | 30 |  7 |  5 | 18 | 29 | 49 | -20 |  26
 Coventry     | 30 |  4 |  9 | 17 | 25 | 47 | -22 |  21
(24 rows)

