     team     | p  | w  | d | l  | gf | ga | gd  | pts 
--------------+----+----+---+----+----+----+-----+-----
 Plymouth     | 18 | 12 | 2 |  4 | 28 | 19 |   9 |  38
 Carlisle     | 18 |  9 | 8 |  1 | 32 | 21 |  11 |  35
 Doncaster    | 17 | 10 | 3 |  4 | 35 | 24 |  11 |  33
 Portsmouth   | 18 |  9 | 4 |  5 | 31 | 18 |  13 |  31
 Luton        | 18 |  8 | 6 |  4 | 28 | 18 |  10 |  30
 Grimsby      | 18 |  7 | 5 |  6 | 25 | 22 |   3 |  26
 Crewe        | 18 |  6 | 8 |  4 | 22 | 21 |   1 |  26
 Wycombe      | 18 |  7 | 4 |  7 | 21 | 22 |  -1 |  25
 Mansfield    | 18 |  6 | 7 |  5 | 19 | 20 |  -1 |  25
 Blackpool    | 18 |  6 | 6 |  6 | 29 | 21 |   8 |  24
 Barnet       | 18 |  5 | 9 |  4 | 24 | 25 |  -1 |  24
 Yeovil       | 17 |  7 | 3 |  7 | 18 | 22 |  -4 |  24
 Hartlepool   | 18 |  5 | 7 |  6 | 28 | 30 |  -2 |  22
 Cambridge    | 18 |  6 | 4 |  8 | 18 | 22 |  -4 |  22
 Notts County | 18 |  6 | 4 |  8 | 22 | 29 |  -7 |  22
 Stevenage    | 16 |  6 | 3 |  7 | 23 | 24 |  -1 |  21
 Colchester   | 18 |  5 | 5 |  8 | 23 | 26 |  -3 |  20
 Accrington   | 18 |  5 | 5 |  8 | 19 | 24 |  -5 |  20
 Crawley Town | 17 |  5 | 5 |  7 | 18 | 25 |  -7 |  20
 Morecambe    | 18 |  6 | 2 | 10 | 21 | 35 | -14 |  20
 Exeter       | 18 |  6 | 1 | 11 | 20 | 25 |  -5 |  19
 L Orient     | 18 |  5 | 3 | 10 | 20 | 23 |  -3 |  18
 Cheltenham   | 18 |  3 | 9 |  6 | 19 | 25 |  -6 |  18
 Newport      | 17 |  4 | 5 |  8 | 21 | 23 |  -2 |  17
(24 rows)

