     team     | p  | w  | d  | l  | gf | ga | gd  | pts 
--------------+----+----+----+----+----+----+-----+-----
 Lincoln City | 30 | 20 |  4 |  6 | 61 | 31 |  30 |  64
 Dag & Red    | 31 | 19 |  4 |  8 | 56 | 34 |  22 |  61
 F Green      | 31 | 17 |  9 |  5 | 63 | 36 |  27 |  60
 Tranmere     | 30 | 17 |  6 |  7 | 43 | 26 |  17 |  57
 Barrow       | 31 | 14 | 11 |  6 | 50 | 32 |  18 |  53
 Dover        | 31 | 16 |  5 | 10 | 62 | 47 |  15 |  53
 Aldershot    | 32 | 14 |  9 |  9 | 41 | 31 |  10 |  51
 Gateshead    | 32 | 13 | 10 |  9 | 52 | 34 |  18 |  49
 Macclesfield | 30 | 14 |  5 | 11 | 42 | 31 |  11 |  47
 Wrexham      | 33 | 12 | 10 | 11 | 34 | 40 |  -6 |  46
 Bromley      | 31 | 13 |  6 | 12 | 41 | 44 |  -3 |  45
 Chester FC   | 32 | 11 | 10 | 11 | 49 | 43 |   6 |  43
 Eastleigh    | 31 | 10 | 12 |  9 | 43 | 39 |   4 |  42
 Boreham Wood | 31 | 11 |  9 | 11 | 31 | 29 |   2 |  42
 Solihull Moo | 32 | 11 |  7 | 14 | 44 | 48 |  -4 |  40
 Braintree To | 31 | 10 |  7 | 14 | 35 | 49 | -14 |  37
 Sutton Unite | 30 | 10 |  6 | 14 | 32 | 41 |  -9 |  36
 Torquay      | 32 |  9 |  7 | 16 | 36 | 45 |  -9 |  34
 Woking       | 32 |  9 |  6 | 17 | 45 | 60 | -15 |  33
 Guiseley     | 32 |  8 |  8 | 16 | 38 | 51 | -13 |  32
 Maidstone Un | 32 |  8 |  6 | 18 | 34 | 59 | -25 |  30
 Southport    | 32 |  8 |  6 | 18 | 38 | 70 | -32 |  30
 York         | 31 |  5 | 12 | 14 | 28 | 48 | -20 |  27
 North Ferrib | 32 |  8 |  3 | 21 | 18 | 48 | -30 |  27
(24 rows)

