     team     | p  | w  | d | l | gf | ga | gd  | pts 
--------------+----+----+---+---+----+----+-----+-----
 Brest        | 18 | 10 | 4 | 4 | 26 | 21 |   5 |  34
 Troyes       | 18 |  9 | 5 | 4 | 24 | 18 |   6 |  32
 Reims        | 18 |  8 | 6 | 4 | 21 | 17 |   4 |  30
 Lens         | 18 |  7 | 8 | 3 | 23 | 17 |   6 |  29
 Sochaux      | 18 |  7 | 8 | 3 | 18 | 14 |   4 |  29
 Strasbourg   | 18 |  8 | 5 | 5 | 22 | 19 |   3 |  29
 SC Amiens    | 18 |  7 | 7 | 4 | 21 | 13 |   8 |  28
 Le Havre AC  | 18 |  7 | 6 | 5 | 19 | 15 |   4 |  27
 Niort        | 18 |  6 | 7 | 5 | 22 | 22 |   0 |  25
 GFC Ajaccio  | 18 |  6 | 6 | 6 | 18 | 16 |   2 |  24
 Valenciennes | 18 |  5 | 8 | 5 | 27 | 25 |   2 |  23
 Nimes        | 18 |  5 | 7 | 6 | 25 | 23 |   2 |  22
 Clermont     | 18 |  5 | 7 | 6 | 17 | 18 |  -1 |  22
 Bourg-Peronn | 18 |  4 | 9 | 5 | 22 | 23 |  -1 |  21
 AC Ajaccio   | 18 |  5 | 6 | 7 | 19 | 23 |  -4 |  21
 Red Star FC  | 18 |  4 | 7 | 7 | 16 | 23 |  -7 |  19
 Stade Laval  | 18 |  3 | 6 | 9 | 12 | 18 |  -6 |  15
 Orléans      | 18 |  3 | 6 | 9 | 15 | 23 |  -8 |  15
 Auxerre      | 18 |  3 | 6 | 9 | 13 | 22 |  -9 |  15
 Tours        | 18 |  3 | 6 | 9 | 20 | 30 | -10 |  15
(20 rows)

