    team    | p  | w  | d | l  | gf | ga | gd  | pts 
------------+----+----+---+----+----+----+-----+-----
 Juventus   | 15 | 12 | 0 |  3 | 32 | 13 |  19 |  36
 AS Roma    | 15 | 10 | 2 |  3 | 35 | 16 |  19 |  32
 Milan      | 15 | 10 | 2 |  3 | 27 | 19 |   8 |  32
 Napoli     | 15 |  8 | 4 |  3 | 27 | 15 |  12 |  28
 Lazio      | 15 |  8 | 4 |  3 | 27 | 16 |  11 |  28
 Atalanta   | 15 |  9 | 1 |  5 | 24 | 17 |   7 |  28
 Torino     | 15 |  7 | 4 |  4 | 31 | 19 |  12 |  25
 Fiorentina | 14 |  6 | 5 |  3 | 22 | 16 |   6 |  23
 Sampdoria  | 15 |  6 | 4 |  5 | 19 | 20 |  -1 |  22
 Inter      | 15 |  6 | 3 |  6 | 22 | 21 |   1 |  21
 Genoa      | 14 |  5 | 5 |  4 | 17 | 15 |   2 |  20
 Cagliari   | 15 |  6 | 2 |  7 | 23 | 32 |  -9 |  20
 Chievo     | 15 |  5 | 4 |  6 | 14 | 16 |  -2 |  19
 Udinese    | 15 |  5 | 3 |  7 | 19 | 23 |  -4 |  18
 Sassuolo   | 15 |  5 | 2 |  8 | 20 | 26 |  -6 |  17
 Bologna    | 15 |  4 | 4 |  7 | 14 | 22 |  -8 |  16
 Empoli     | 15 |  2 | 4 |  9 |  7 | 24 | -17 |  10
 US Pescara | 15 |  1 | 5 |  9 | 12 | 27 | -15 |   8
 Crotone    | 15 |  1 | 3 | 11 | 12 | 29 | -17 |   6
 Palermo    | 15 |  1 | 3 | 11 | 11 | 29 | -18 |   6
(20 rows)

