     team     | p  | w  | d  | l  | gf | ga | gd  | pts 
--------------+----+----+----+----+----+----+-----+-----
 Verona       | 22 | 12 |  5 |  5 | 40 | 25 |  15 |  41
 Frosinone    | 23 | 12 |  5 |  6 | 33 | 26 |   7 |  41
 Spal         | 22 | 11 |  6 |  5 | 36 | 24 |  12 |  39
 Benevento    | 22 | 10 |  7 |  5 | 28 | 16 |  12 |  37
 Cittadella   | 22 | 12 |  1 |  9 | 33 | 26 |   7 |  37
 Carpi        | 22 |  8 |  9 |  5 | 23 | 19 |   4 |  33
 Virtus Entel | 22 |  8 |  8 |  6 | 33 | 26 |   7 |  32
 Perugia      | 22 |  7 | 10 |  5 | 29 | 23 |   6 |  31
 Bari         | 22 |  7 |  8 |  7 | 22 | 22 |   0 |  29
 Spezia       | 22 |  6 | 10 |  6 | 17 | 17 |   0 |  28
 Novara       | 22 |  8 |  4 | 10 | 27 | 28 |  -1 |  28
 Salernitana  | 22 |  6 |  9 |  7 | 27 | 27 |   0 |  27
 Ascoli       | 21 |  6 |  9 |  6 | 21 | 23 |  -2 |  27
 Brescia      | 23 |  6 |  9 |  8 | 24 | 31 |  -7 |  27
 Latina       | 22 |  4 | 14 |  4 | 24 | 25 |  -1 |  26
 Vicenza      | 22 |  6 |  8 |  8 | 16 | 25 |  -9 |  26
 Pisa         | 22 |  5 |  9 |  8 |  8 | 12 |  -4 |  24
 Pro Vercelli | 21 |  5 |  9 |  7 | 20 | 26 |  -6 |  24
 Avellino     | 22 |  6 |  6 | 10 | 17 | 28 | -11 |  24
 Cesena       | 22 |  5 |  8 |  9 | 26 | 27 |  -1 |  23
 Ternana      | 22 |  4 |  8 | 10 | 20 | 31 | -11 |  20
 Trapani      | 22 |  2 | 10 | 10 | 15 | 32 | -17 |  16
(22 rows)

