     team     | p  | w  | d  | l  | gf | ga | gd  | pts 
--------------+----+----+----+----+----+----+-----+-----
 Levante      | 27 | 18 |  5 |  4 | 38 | 19 |  19 |  59
 Girona       | 28 | 16 |  7 |  5 | 47 | 23 |  24 |  55
 Tenerife     | 28 | 11 | 12 |  5 | 32 | 22 |  10 |  45
 Real Oviedo  | 28 | 13 |  6 |  9 | 34 | 33 |   1 |  45
 Cádiz        | 28 | 12 |  8 |  8 | 39 | 27 |  12 |  44
 Getafe       | 28 | 11 | 10 |  7 | 31 | 31 |   0 |  43
 Valladolid   | 27 | 11 |  6 | 10 | 32 | 24 |   8 |  39
 Lugo         | 27 |  9 | 10 |  8 | 37 | 34 |   3 |  37
 Huesca       | 27 |  9 |  9 |  9 | 35 | 30 |   5 |  36
 Reus Deporti | 28 |  8 | 12 |  8 | 22 | 21 |   1 |  36
 Numancia     | 27 |  9 |  9 |  9 | 33 | 35 |  -2 |  36
 Elche        | 27 |  9 |  8 | 10 | 36 | 37 |  -1 |  35
 Sevilla At.  | 28 |  8 | 11 |  9 | 30 | 33 |  -3 |  35
 R Zaragoza   | 27 |  8 |  8 | 11 | 33 | 38 |  -5 |  32
 AD Alcorcon  | 28 |  8 |  8 | 12 | 21 | 28 |  -7 |  32
 UCAM Murcia  | 27 |  7 | 10 | 10 | 30 | 37 |  -7 |  31
 Cordoba      | 27 |  7 |  9 | 11 | 24 | 37 | -13 |  30
 Rayo         | 28 |  7 |  8 | 13 | 27 | 32 |  -5 |  29
 Gimnastic    | 27 |  6 | 11 | 10 | 28 | 35 |  -7 |  29
 Mallorca     | 27 |  6 | 10 | 11 | 26 | 33 |  -7 |  28
 Mirandes     | 28 |  6 | 10 | 12 | 25 | 45 | -20 |  28
 Almeria      | 27 |  6 |  7 | 14 | 26 | 32 |  -6 |  25
(22 rows)

