    team     | p | w | d | l | gf | ga | gd | pts 
-------------+---+---+---+---+----+----+----+-----
 Real Madrid | 3 | 3 | 0 | 0 | 10 |  3 |  7 |   9
 Sevilla     | 3 | 2 | 1 | 0 |  8 |  5 |  3 |   7
 Sporting    | 3 | 2 | 1 | 0 |  4 |  2 |  2 |   7
 Las Palmas  | 3 | 2 | 0 | 1 | 10 |  5 |  5 |   6
 Barcelona   | 3 | 2 | 0 | 1 |  8 |  4 |  4 |   6
 Eibar       | 3 | 2 | 0 | 1 |  4 |  3 |  1 |   6
 Atletico    | 3 | 1 | 2 | 0 |  5 |  1 |  4 |   5
 Villarreal  | 3 | 1 | 2 | 0 |  3 |  1 |  2 |   5
 Alavés      | 3 | 1 | 2 | 0 |  3 |  2 |  1 |   5
 Betis       | 4 | 1 | 2 | 1 |  7 | 10 | -3 |   5
 Leganes     | 3 | 1 | 1 | 1 |  2 |  2 |  0 |   4
 Deportivo   | 3 | 1 | 1 | 1 |  2 |  2 |  0 |   4
 R Sociedad  | 3 | 1 | 1 | 1 |  3 |  4 | -1 |   4
 Athletic    | 3 | 1 | 0 | 2 |  2 |  3 | -1 |   3
 Espanyol    | 3 | 0 | 2 | 1 |  7 |  9 | -2 |   2
 Málaga      | 3 | 0 | 2 | 1 |  3 |  5 | -2 |   2
 Granada     | 4 | 0 | 2 | 2 |  5 | 10 | -5 |   2
 Osasuna     | 3 | 0 | 1 | 2 |  3 |  8 | -5 |   1
 Valencia    | 3 | 0 | 0 | 3 |  4 |  8 | -4 |   0
 Celta Vigo  | 3 | 0 | 0 | 3 |  1 |  7 | -6 |   0
(20 rows)

