year	league_id	league_key	club_id	club_key	club_name	club_url	game_id	game_url	date	date_headline	status	league	home_logo_src	home_logo_alt	home_team_id	home_team_name	home_score	home_goals	home_pk	away_score	away_goals	away_pk	away_logo_src	away_logo_alt	away_team_id	away_team_name	competition	title
2000	9	french+ligue+1	165	nantes	Nantes	http://www.espnfc.us/club/nantes/165/index	1126	http://www.espnfc.us/match?gameId=1126	Mar 17, 2001	Mar 17, 2001	FT	Ligue 1	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/165.png&w=22&site=espnfc	Nantes	165	Nantes	4	4		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/default-team-logo-500.png&w=22&site=espnfc	Sedan		Sedan	Ligue 1	French Ligue 1
2000	9	french+ligue+1	166	lille	Lille	http://www.espnfc.us/club/lille/166/index	1121	http://www.espnfc.us/match?gameId=1121	Mar 17, 2001	Mar 17, 2001	FT	Ligue 1	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/179.png&w=22&site=espnfc	Toulouse	179	Toulouse	0	0		2	2		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/166.png&w=22&site=espnfc	Lille	166	Lille	Ligue 1	French Ligue 1
2000	9	french+ligue+1	167	lyon	Lyon	http://www.espnfc.us/club/lyon/167/index	1129	http://www.espnfc.us/match?gameId=1129	Mar 17, 2001	Mar 17, 2001	FT	Ligue 1	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/172.png&w=22&site=espnfc	AJ Auxerre	172	Auxerre	0	0		3	3		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/167.png&w=22&site=espnfc	Lyon	167	Lyon	Ligue 1	French Ligue 1
2000	9	french+ligue+1	159	bordeaux	Bordeaux	http://www.espnfc.us/club/bordeaux/159/index	1064	http://www.espnfc.us/match?gameId=1064	Mar 18, 2001	Mar 18, 2001	FT	Ligue 1	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/159.png&w=22&site=espnfc	Bordeaux	159	Bordeaux	2	2		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/160.png&w=22&site=espnfc	Paris Saint-Germain	160	PSG	Ligue 1	French Ligue 1
2000	9	french+ligue+1	168	sedan	Sedan	http://www.espnfc.us/club/sedan/168/index	1126	http://www.espnfc.us/match?gameId=1126	Mar 17, 2001	Mar 17, 2001	FT	Ligue 1	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/165.png&w=22&site=espnfc	Nantes	165	Nantes	4	4		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/default-team-logo-500.png&w=22&site=espnfc	Sedan		Sedan	Ligue 1	French Ligue 1
2000	9	french+ligue+1	169	stade-rennes	Stade Rennes	http://www.espnfc.us/club/stade-rennes/169/index	1131	http://www.espnfc.us/match?gameId=1131	Mar 17, 2001	Mar 17, 2001	FT	Ligue 1	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/171.png&w=22&site=espnfc	Guingamp	171	Guingamp	1	1		6	6		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/169.png&w=22&site=espnfc	Stade Rennes	169	Rennes	Ligue 1	French Ligue 1
2000	9	french+ligue+1	170	troyes	Troyes	http://www.espnfc.us/club/troyes/170/index	1128	http://www.espnfc.us/match?gameId=1128	Mar 17, 2001	Mar 17, 2001	FT	Ligue 1	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/174.png&w=22&site=espnfc	AS Monaco	174	Monaco	4	4		3	3		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/170.png&w=22&site=espnfc	Troyes	170	Troyes	Ligue 1	French Ligue 1
2000	9	french+ligue+1	171	guingamp	Guingamp	http://www.espnfc.us/club/guingamp/171/index	1131	http://www.espnfc.us/match?gameId=1131	Mar 17, 2001	Mar 17, 2001	FT	Ligue 1	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/171.png&w=22&site=espnfc	Guingamp	171	Guingamp	1	1		6	6		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/169.png&w=22&site=espnfc	Stade Rennes	169	Rennes	Ligue 1	French Ligue 1
2000	9	french+ligue+1	172	aj-auxerre	AJ Auxerre	http://www.espnfc.us/club/aj-auxerre/172/index	1129	http://www.espnfc.us/match?gameId=1129	Mar 17, 2001	Mar 17, 2001	FT	Ligue 1	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/172.png&w=22&site=espnfc	AJ Auxerre	172	Auxerre	0	0		3	3		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/167.png&w=22&site=espnfc	Lyon	167	Lyon	Ligue 1	French Ligue 1
2000	9	french+ligue+1	173	bastia	Bastia	http://www.espnfc.us/club/bastia/173/index	1127	http://www.espnfc.us/match?gameId=1127	Mar 17, 2001	Mar 17, 2001	FT	Ligue 1	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/178.png&w=22&site=espnfc	St Etienne	178	St Etienne	2	2		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/173.png&w=22&site=espnfc	Bastia	173	Bastia	Ligue 1	French Ligue 1
2000	9	french+ligue+1	174	as-monaco	AS Monaco	http://www.espnfc.us/club/as-monaco/174/index	1128	http://www.espnfc.us/match?gameId=1128	Mar 17, 2001	Mar 17, 2001	FT	Ligue 1	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/174.png&w=22&site=espnfc	AS Monaco	174	Monaco	4	4		3	3		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/170.png&w=22&site=espnfc	Troyes	170	Troyes	Ligue 1	French Ligue 1
2000	9	french+ligue+1	160	paris-saint-germain	Paris Saint-Germain	http://www.espnfc.us/club/paris-saint-germain/160/index	1064	http://www.espnfc.us/match?gameId=1064	Mar 18, 2001	Mar 18, 2001	FT	Ligue 1	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/159.png&w=22&site=espnfc	Bordeaux	159	Bordeaux	2	2		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/160.png&w=22&site=espnfc	Paris Saint-Germain	160	PSG	Ligue 1	French Ligue 1
2000	9	french+ligue+1	175	lens	Lens	http://www.espnfc.us/club/lens/175/index	1125	http://www.espnfc.us/match?gameId=1125	Mar 17, 2001	Mar 17, 2001	FT	Ligue 1	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/175.png&w=22&site=espnfc	Lens	175	Lens	1	1		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/177.png&w=22&site=espnfc	Metz	177	Metz	Ligue 1	French Ligue 1
2000	9	french+ligue+1	176	marseille	Marseille	http://www.espnfc.us/club/marseille/176/index	1132	http://www.espnfc.us/match?gameId=1132	Mar 17, 2001	Mar 17, 2001	FT	Ligue 1	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/176.png&w=22&site=espnfc	Marseille	176	Marseille	0	0		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/default-team-logo-500.png&w=22&site=espnfc	Strasbourg		Strasbourg	Ligue 1	French Ligue 1
2000	9	french+ligue+1	177	metz	Metz	http://www.espnfc.us/club/metz/177/index	1125	http://www.espnfc.us/match?gameId=1125	Mar 17, 2001	Mar 17, 2001	FT	Ligue 1	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/175.png&w=22&site=espnfc	Lens	175	Lens	1	1		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/177.png&w=22&site=espnfc	Metz	177	Metz	Ligue 1	French Ligue 1
2000	9	french+ligue+1	178	st-etienne	St Etienne	http://www.espnfc.us/club/st-etienne/178/index	1127	http://www.espnfc.us/match?gameId=1127	Mar 17, 2001	Mar 17, 2001	FT	Ligue 1	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/178.png&w=22&site=espnfc	St Etienne	178	St Etienne	2	2		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/173.png&w=22&site=espnfc	Bastia	173	Bastia	Ligue 1	French Ligue 1
2000	9	french+ligue+1	179	toulouse	Toulouse	http://www.espnfc.us/club/toulouse/179/index	1121	http://www.espnfc.us/match?gameId=1121	Mar 17, 2001	Mar 17, 2001	FT	Ligue 1	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/179.png&w=22&site=espnfc	Toulouse	179	Toulouse	0	0		2	2		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/166.png&w=22&site=espnfc	Lille	166	Lille	Ligue 1	French Ligue 1
2000	9	french+ligue+1	180	strasbourg	Strasbourg	http://www.espnfc.us/club/strasbourg/180/index	1132	http://www.espnfc.us/match?gameId=1132	Mar 17, 2001	Mar 17, 2001	FT	Ligue 1	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/176.png&w=22&site=espnfc	Marseille	176	Marseille	0	0		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/default-team-logo-500.png&w=22&site=espnfc	Strasbourg		Strasbourg	Ligue 1	French Ligue 1
