year	league_id	league_key	club_id	club_key	club_name	club_url	game_id	game_url	date	date_headline	status	league	home_logo_src	home_logo_alt	home_team_id	home_team_name	home_score	home_goals	home_pk	away_score	away_goals	away_pk	away_logo_src	away_logo_alt	away_team_id	away_team_name	competition	title
2017	1543	fútbol+profesional+colombiano	9761	alianza-petrolera	Alianza Petrolera	http://www.espnfc.us/club/alianza-petrolera/9761/index	472250	http://www.espnfc.us/match?gameId=472250	Feb 5, 2017	Feb 5, 2017		Liga Águila	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/9761.png&w=22&site=espnfc	Alianza Petrolera	9761	Alianza Petr							http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/6137.png&w=22&site=espnfc	Bucaramanga	6137	Bucaramanga	L. Águila	Liga Águila
2017	1543	fútbol+profesional+colombiano	9761	alianza-petrolera	Alianza Petrolera	http://www.espnfc.us/club/alianza-petrolera/9761/index	472240	http://www.espnfc.us/match?gameId=472240	Feb 8, 2017	Feb 8, 2017		Liga Águila	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/9762.png&w=22&site=espnfc	Rionegro FC	9762	Rionegro							http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/9761.png&w=22&site=espnfc	Alianza Petrolera	9761	Alianza Petr	L. Águila	Liga Águila
2017	1543	fútbol+profesional+colombiano	9761	alianza-petrolera	Alianza Petrolera	http://www.espnfc.us/club/alianza-petrolera/9761/index	472239	http://www.espnfc.us/match?gameId=472239	Feb 12, 2017	Feb 12, 2017		Liga Águila	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/9761.png&w=22&site=espnfc	Alianza Petrolera	9761	Alianza Petr							http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/5489.png&w=22&site=espnfc	Deportes Tolima	5489	Depor Tolima	L. Águila	Liga Águila
2017	1543	fútbol+profesional+colombiano	9761	alianza-petrolera	Alianza Petrolera	http://www.espnfc.us/club/alianza-petrolera/9761/index	472220	http://www.espnfc.us/match?gameId=472220	Feb 19, 2017	Feb 19, 2017		Liga Águila	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/4815.png&w=22&site=espnfc	Atlético Junior	4815	Junior							http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/9761.png&w=22&site=espnfc	Alianza Petrolera	9761	Alianza Petr	L. Águila	Liga Águila
2017	1543	fútbol+profesional+colombiano	9761	alianza-petrolera	Alianza Petrolera	http://www.espnfc.us/club/alianza-petrolera/9761/index	472216	http://www.espnfc.us/match?gameId=472216	Feb 22, 2017	Feb 22, 2017		Liga Águila	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/9761.png&w=22&site=espnfc	Alianza Petrolera	9761	Alianza Petr							http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/7445.png&w=22&site=espnfc	La Equidad	7445	La Equidad	L. Águila	Liga Águila
2017	1543	fútbol+profesional+colombiano	9761	alianza-petrolera	Alianza Petrolera	http://www.espnfc.us/club/alianza-petrolera/9761/index	472200	http://www.espnfc.us/match?gameId=472200	Feb 26, 2017	Feb 26, 2017		Liga Águila	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/10309.png&w=22&site=espnfc	Jaguares de Córdoba	10309	Jaguares							http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/9761.png&w=22&site=espnfc	Alianza Petrolera	9761	Alianza Petr	L. Águila	Liga Águila
2017	1543	fútbol+profesional+colombiano	9761	alianza-petrolera	Alianza Petrolera	http://www.espnfc.us/club/alianza-petrolera/9761/index	472190	http://www.espnfc.us/match?gameId=472190	Mar 1, 2017	Mar 1, 2017		Liga Águila	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/9761.png&w=22&site=espnfc	Alianza Petrolera	9761	Alianza Petr							http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/8109.png&w=22&site=espnfc	America Cali	8109	America Cali	L. Águila	Liga Águila
2017	1543	fútbol+profesional+colombiano	9761	alianza-petrolera	Alianza Petrolera	http://www.espnfc.us/club/alianza-petrolera/9761/index	472180	http://www.espnfc.us/match?gameId=472180	Mar 5, 2017	Mar 5, 2017		Liga Águila	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/5485.png&w=22&site=espnfc	Deportivo Pasto	5485	Depor Pasto							http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/9761.png&w=22&site=espnfc	Alianza Petrolera	9761	Alianza Petr	L. Águila	Liga Águila
2017	1543	fútbol+profesional+colombiano	9761	alianza-petrolera	Alianza Petrolera	http://www.espnfc.us/club/alianza-petrolera/9761/index	472171	http://www.espnfc.us/match?gameId=472171	Mar 12, 2017	Mar 12, 2017		Liga Águila	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/9761.png&w=22&site=espnfc	Alianza Petrolera	9761	Alianza Petr							http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/5264.png&w=22&site=espnfc	Atlético Nacional	5264	Atl Nacional	L. Águila	Liga Águila
2017	1543	fútbol+profesional+colombiano	9761	alianza-petrolera	Alianza Petrolera	http://www.espnfc.us/club/alianza-petrolera/9761/index	472160	http://www.espnfc.us/match?gameId=472160	Mar 19, 2017	Mar 19, 2017		Liga Águila	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/6137.png&w=22&site=espnfc	Bucaramanga	6137	Bucaramanga							http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/9761.png&w=22&site=espnfc	Alianza Petrolera	9761	Alianza Petr	L. Águila	Liga Águila
