year	league_id	league_key	club_id	club_key	club_name	club_url	game_id	game_url	date	date_headline	status	league	home_logo_src	home_logo_alt	home_team_id	home_team_name	home_score	home_goals	home_pk	away_score	away_goals	away_pk	away_logo_src	away_logo_alt	away_team_id	away_team_name	competition	title
2016	2334	indian+super+league	18002	mumbai-city-fc	Mumbai City FC	http://www.espnfc.com/club/mumbai-city-fc/18002/index	466565	http://www.espnfc.com/report?gameId=466565	Oct 3, 2016	Oct 3, 2016	FT	ISL	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/17999.png&w=22&site=espnfc	FC Pune City	17999	FC Pune City	0	0		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/18002.png&w=22&site=espnfc	Mumbai City FC	18002	Mumbai City	ISL	Indian Super League
2016	2334	indian+super+league	18002	mumbai-city-fc	Mumbai City FC	http://www.espnfc.com/club/mumbai-city-fc/18002/index	466561	http://www.espnfc.com/report?gameId=466561	Oct 7, 2016	Oct 7, 2016	FT	ISL	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/18002.png&w=22&site=espnfc	Mumbai City FC	18002	Mumbai City	1	1		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/18004.png&w=22&site=espnfc	NorthEast United FC	18004	NorthEast Un	ISL	Indian Super League
2016	2334	indian+super+league	18002	mumbai-city-fc	Mumbai City FC	http://www.espnfc.com/club/mumbai-city-fc/18002/index	466558	http://www.espnfc.com/report?gameId=466558	Oct 11, 2016	Oct 11, 2016	FT	ISL	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/18002.png&w=22&site=espnfc	Mumbai City FC	18002	Mumbai City	1	1		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/18001.png&w=22&site=espnfc	Atlético de Kolkata	18001	Kolkata	ISL	Indian Super League
2016	2334	indian+super+league	18002	mumbai-city-fc	Mumbai City FC	http://www.espnfc.com/club/mumbai-city-fc/18002/index	466555	http://www.espnfc.com/report?gameId=466555	Oct 14, 2016	Oct 14, 2016	FT	ISL	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/17997.png&w=22&site=espnfc	Kerala Blasters FC	17997	Kerala Blast	1	1		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/18002.png&w=22&site=espnfc	Mumbai City FC	18002	Mumbai City	ISL	Indian Super League
2016	2334	indian+super+league	18002	mumbai-city-fc	Mumbai City FC	http://www.espnfc.com/club/mumbai-city-fc/18002/index	466551	http://www.espnfc.com/report?gameId=466551	Oct 18, 2016	Oct 18, 2016	FT	ISL	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/17998.png&w=22&site=espnfc	Delhi Dynamos FC	17998	Delhi Dynamo	3	3		3	3		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/18002.png&w=22&site=espnfc	Mumbai City FC	18002	Mumbai City	ISL	Indian Super League
2016	2334	indian+super+league	18002	mumbai-city-fc	Mumbai City FC	http://www.espnfc.com/club/mumbai-city-fc/18002/index	466549	http://www.espnfc.com/report?gameId=466549	Oct 21, 2016	Oct 21, 2016	FT	ISL	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/18002.png&w=22&site=espnfc	Mumbai City FC	18002	Mumbai City	0	0		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/18003.png&w=22&site=espnfc	FC Goa	18003	FC Goa	ISL	Indian Super League
2016	2334	indian+super+league	18002	mumbai-city-fc	Mumbai City FC	http://www.espnfc.com/club/mumbai-city-fc/18002/index	466545	http://www.espnfc.com/report?gameId=466545	Oct 25, 2016	Oct 25, 2016	FT	ISL	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/18001.png&w=22&site=espnfc	Atlético de Kolkata	18001	Kolkata	0	0		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/18002.png&w=22&site=espnfc	Mumbai City FC	18002	Mumbai City	ISL	Indian Super League
2016	2334	indian+super+league	18002	mumbai-city-fc	Mumbai City FC	http://www.espnfc.com/club/mumbai-city-fc/18002/index	466540	http://www.espnfc.com/report?gameId=466540	Nov 2, 2016	Nov 2, 2016	FT	ISL	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/18000.png&w=22&site=espnfc	Chennaiyin FC	18000	Chennaiyin	1	1		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/18002.png&w=22&site=espnfc	Mumbai City FC	18002	Mumbai City	ISL	Indian Super League
2016	2334	indian+super+league	18002	mumbai-city-fc	Mumbai City FC	http://www.espnfc.com/club/mumbai-city-fc/18002/index	466537	http://www.espnfc.com/report?gameId=466537	Nov 5, 2016	Nov 5, 2016	FT	ISL	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/18004.png&w=22&site=espnfc	NorthEast United FC	18004	NorthEast Un	0	0		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/18002.png&w=22&site=espnfc	Mumbai City FC	18002	Mumbai City	ISL	Indian Super League
2016	2334	indian+super+league	18002	mumbai-city-fc	Mumbai City FC	http://www.espnfc.com/club/mumbai-city-fc/18002/index	466533	http://www.espnfc.com/report?gameId=466533	Nov 10, 2016	Nov 10, 2016	FT	ISL	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/18002.png&w=22&site=espnfc	Mumbai City FC	18002	Mumbai City	0	0		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/17999.png&w=22&site=espnfc	FC Pune City	17999	FC Pune City	ISL	Indian Super League
