year	league_id	league_key	club_id	club_key	club_name	club_url	game_id	game_url	date	date_headline	status	league	home_logo_src	home_logo_alt	home_team_id	home_team_name	home_score	home_goals	home_pk	away_score	away_goals	away_pk	away_logo_src	away_logo_alt	away_team_id	away_team_name	competition	title
2019	1892	paraguayan+primera+division	2675	olimpia	Olimpia	http://www.espnfc.us/club/olimpia/2675/index	530481	http://www.espnfc.us/match?gameId=530481	Jan 26, 2019	Jan 26, 2019	FT	Primera División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2675.png&w=22&site=espnfc	Olimpia	2675	Olimpia	2	2		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/17671.png&w=22&site=espnfc	Sportivo San Lorenzo	17671	S. San Loren	Prim	Paraguayan Primera Division
2019	1892	paraguayan+primera+division	2675	olimpia	Olimpia	http://www.espnfc.us/club/olimpia/2675/index	530474	http://www.espnfc.us/match?gameId=530474	Feb 3, 2019	Feb 3, 2019	FT	Primera División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/5583.png&w=22&site=espnfc	Sportivo Luqueño	5583	Luqueño	1	1		5	5		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2675.png&w=22&site=espnfc	Olimpia	2675	Olimpia	Prim	Paraguayan Primera Division
2019	1892	paraguayan+primera+division	2675	olimpia	Olimpia	http://www.espnfc.us/club/olimpia/2675/index	530461	http://www.espnfc.us/match?gameId=530461	Feb 9, 2019	Feb 9, 2019	FT	Primera División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/7465.png&w=22&site=espnfc	Sol de América	7465	Sol de Améri	0	0		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2675.png&w=22&site=espnfc	Olimpia	2675	Olimpia	Prim	Paraguayan Primera Division
2019	1892	paraguayan+primera+division	2675	olimpia	Olimpia	http://www.espnfc.us/club/olimpia/2675/index	530486	http://www.espnfc.us/match?gameId=530486	Feb 13, 2019	Feb 13, 2019	FT	Primera División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/5584.png&w=22&site=espnfc	Nacional	5584	Nacional	2	2		4	4		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2675.png&w=22&site=espnfc	Olimpia	2675	Olimpia	Prim	Paraguayan Primera Division
2019	1892	paraguayan+primera+division	2675	olimpia	Olimpia	http://www.espnfc.us/club/olimpia/2675/index	530452	http://www.espnfc.us/match?gameId=530452	Feb 17, 2019	Feb 17, 2019	FT	Primera División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2675.png&w=22&site=espnfc	Olimpia	2675	Olimpia	2	2		2	2		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2671.png&w=22&site=espnfc	Cerro Porteño	2671	Cerro Porteñ	Prim	Paraguayan Primera Division
2019	1892	paraguayan+primera+division	2675	olimpia	Olimpia	http://www.espnfc.us/club/olimpia/2675/index	530448	http://www.espnfc.us/match?gameId=530448	Feb 24, 2019	Feb 24, 2019	FT	Primera División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2670.png&w=22&site=espnfc	Libertad	2670	Libertad	2	2		3	3		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2675.png&w=22&site=espnfc	Olimpia	2675	Olimpia	Prim	Paraguayan Primera Division
2019	1892	paraguayan+primera+division	2675	olimpia	Olimpia	http://www.espnfc.us/club/olimpia/2675/index	530441	http://www.espnfc.us/match?gameId=530441	Feb 27, 2019	Feb 27, 2019	FT	Primera División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2675.png&w=22&site=espnfc	Olimpia	2675	Olimpia	3	3		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/10853.png&w=22&site=espnfc	Deportivo Capiatá	10853	Capiatá	Prim	Paraguayan Primera Division
2019	1892	paraguayan+primera+division	2675	olimpia	Olimpia	http://www.espnfc.us/club/olimpia/2675/index	530436	http://www.espnfc.us/match?gameId=530436	Mar 2, 2019	Mar 2, 2019	FT	Primera División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/10078.png&w=22&site=espnfc	General Díaz	10078	General Díaz	0	0		2	2		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2675.png&w=22&site=espnfc	Olimpia	2675	Olimpia	Prim	Paraguayan Primera Division
2019	1892	paraguayan+primera+division	2675	olimpia	Olimpia	http://www.espnfc.us/club/olimpia/2675/index	530797	http://www.espnfc.us/match?gameId=530797	Mar 5, 2019	Mar 5, 2019	FT	Copa Libertadores	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/6756.png&w=22&site=espnfc	Godoy Cruz Antonio Tomba	6756	Godoy Cruz	0	0		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2675.png&w=22&site=espnfc	Olimpia	2675	Olimpia	Lib	CONMEBOL Copa Libertadores
2019	1892	paraguayan+primera+division	2675	olimpia	Olimpia	http://www.espnfc.us/club/olimpia/2675/index	530433	http://www.espnfc.us/match?gameId=530433	Mar 9, 2019	Mar 9, 2019	FT	Primera División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2675.png&w=22&site=espnfc	Olimpia	2675	Olimpia	0	0		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/18136.png&w=22&site=espnfc	River Plate (Asunción)	18136	River Asunci	Prim	Paraguayan Primera Division
2019	1892	paraguayan+primera+division	2675	olimpia	Olimpia	http://www.espnfc.us/club/olimpia/2675/index	530785	http://www.espnfc.us/match?gameId=530785	Mar 12, 2019	Mar 12, 2019	FT	Copa Libertadores	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2675.png&w=22&site=espnfc	Olimpia	2675	Olimpia	1	1		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/5362.png&w=22&site=espnfc	Universidad de Concepción	5362	U Concepción	Lib	CONMEBOL Copa Libertadores
2019	1892	paraguayan+primera+division	2675	olimpia	Olimpia	http://www.espnfc.us/club/olimpia/2675/index	530424	http://www.espnfc.us/match?gameId=530424	Mar 17, 2019	Mar 17, 2019	FT	Primera División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/5265.png&w=22&site=espnfc	Guaraní	5265	Guaraní	1	1		5	5		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2675.png&w=22&site=espnfc	Olimpia	2675	Olimpia	Prim	Paraguayan Primera Division
2019	1892	paraguayan+primera+division	2675	olimpia	Olimpia	http://www.espnfc.us/club/olimpia/2675/index	530465	http://www.espnfc.us/match?gameId=530465	Mar 20, 2019	Mar 20, 2019	FT	Primera División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2675.png&w=22&site=espnfc	Olimpia	2675	Olimpia	2	2		2	2		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/10855.png&w=22&site=espnfc	Deportivo Santaní	10855	Santaní	Prim	Paraguayan Primera Division
2019	1892	paraguayan+primera+division	2675	olimpia	Olimpia	http://www.espnfc.us/club/olimpia/2675/index	530418	http://www.espnfc.us/match?gameId=530418	Mar 24, 2019	Mar 24, 2019	FT	Primera División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2675.png&w=22&site=espnfc	Olimpia	2675	Olimpia	0	0		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/5584.png&w=22&site=espnfc	Nacional	5584	Nacional	Prim	Paraguayan Primera Division
