year	league_id	league_key	club_id	club_key	club_name	club_url	game_id	game_url	date	date_headline	status	league	home_logo_src	home_logo_alt	home_team_id	home_team_name	home_score	home_goals	home_pk	away_score	away_goals	away_pk	away_logo_src	away_logo_alt	away_team_id	away_team_name	competition	title
2012	14	portuguese+liga	437	fc-porto	FC Porto	http://www.espnfc.us/club/fc-porto/437/index	348683	http://www.espnfc.us/gamecast/statistics/id/348683/statistics.html	Aug 19, 2012	Aug 19, 2012	FT	Liga	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/3699.png&w=22&site=espnfc	Gil Vicente	3699	Gil Vicente	0	0		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/437.png&w=22&site=espnfc	FC Porto	437	FC Porto	Liga	Portuguese Liga
2012	14	portuguese+liga	437	fc-porto	FC Porto	http://www.espnfc.us/club/fc-porto/437/index	348678	http://www.espnfc.us/gamecast/statistics/id/348678/statistics.html	Aug 25, 2012	Aug 25, 2012	FT	Liga	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/437.png&w=22&site=espnfc	FC Porto	437	FC Porto	4	4		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/5309.png&w=22&site=espnfc	Guimaraes	5309	Guimaraes	Liga	Portuguese Liga
2012	14	portuguese+liga	437	fc-porto	FC Porto	http://www.espnfc.us/club/fc-porto/437/index	348671	http://www.espnfc.us/gamecast/statistics/id/348671/statistics.html	Sep 1, 2012	Sep 1, 2012	FT	Liga	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/3712.png&w=22&site=espnfc	Olhanense	3712	Olhanense	2	2		3	3		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/437.png&w=22&site=espnfc	FC Porto	437	FC Porto	Liga	Portuguese Liga
2012	14	portuguese+liga	437	fc-porto	FC Porto	http://www.espnfc.us/club/fc-porto/437/index	355633	http://www.espnfc.us/gamecast/355633/gamecast.html	Sep 18, 2012	Sep 18, 2012	FT	UEFA Champions League	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/597.png&w=22&site=espnfc	Dinamo Zagreb	597	D Zagreb	0	0		2	2		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/437.png&w=22&site=espnfc	FC Porto	437	FC Porto	UCL	UEFA Champions League
2012	14	portuguese+liga	437	fc-porto	FC Porto	http://www.espnfc.us/club/fc-porto/437/index	348663	http://www.espnfc.us/gamecast/statistics/id/348663/statistics.html	Sep 22, 2012	Sep 22, 2012	FT	Liga	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/437.png&w=22&site=espnfc	FC Porto	437	FC Porto	4	4		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1423.png&w=22&site=espnfc	Beira Mar	1423	Beira Mar	Liga	Portuguese Liga
2012	14	portuguese+liga	437	fc-porto	FC Porto	http://www.espnfc.us/club/fc-porto/437/index	348660	http://www.espnfc.us/gamecast/statistics/id/348660/statistics.html	Sep 29, 2012	Sep 29, 2012	FT	Liga	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/3822.png&w=22&site=espnfc	Rio Ave	3822	Rio Ave	2	2		2	2		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/437.png&w=22&site=espnfc	FC Porto	437	FC Porto	Liga	Portuguese Liga
2012	14	portuguese+liga	437	fc-porto	FC Porto	http://www.espnfc.us/club/fc-porto/437/index	355658	http://www.espnfc.us/gamecast/355658/gamecast.html	Oct 3, 2012	Oct 3, 2012	FT	UEFA Champions League	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/437.png&w=22&site=espnfc	FC Porto	437	FC Porto	1	1		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/160.png&w=22&site=espnfc	Paris Saint-Germain	160	PSG	UCL	UEFA Champions League
2012	14	portuguese+liga	437	fc-porto	FC Porto	http://www.espnfc.us/club/fc-porto/437/index	348656	http://www.espnfc.us/gamecast/statistics/id/348656/statistics.html	Oct 7, 2012	Oct 7, 2012	FT	Liga	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/437.png&w=22&site=espnfc	FC Porto	437	FC Porto	2	2		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2250.png&w=22&site=espnfc	Sporting CP	2250	Sporting	Liga	Portuguese Liga
2012	14	portuguese+liga	437	fc-porto	FC Porto	http://www.espnfc.us/club/fc-porto/437/index	355673	http://www.espnfc.us/gamecast/355673/gamecast.html	Oct 24, 2012	Oct 24, 2012	FT	UEFA Champions League	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/437.png&w=22&site=espnfc	FC Porto	437	FC Porto	3	3		2	2		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/440.png&w=22&site=espnfc	Dynamo Kiev	440	Dynamo Kiev	UCL	UEFA Champions League
2012	14	portuguese+liga	437	fc-porto	FC Porto	http://www.espnfc.us/club/fc-porto/437/index	354264	http://www.espnfc.us/gamecast/statistics/id/354264/statistics.html	Oct 28, 2012	Oct 28, 2012	FT	Liga	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/12216.png&w=22&site=espnfc	Estoril	12216	Estoril	1	1		2	2		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/437.png&w=22&site=espnfc	FC Porto	437	FC Porto	Liga	Portuguese Liga
