year	league_id	league_key	club_id	club_key	club_name	club_url	game_id	game_url	date	date_headline	status	league	home_logo_src	home_logo_alt	home_team_id	home_team_name	home_score	home_goals	home_pk	away_score	away_goals	away_pk	away_logo_src	away_logo_alt	away_team_id	away_team_name	competition	title
2010	1892	primera+división+de+paraguay	2670	libertad	Libertad	http://www.espnfc.us/club/libertad/2670/index	288858	http://www.espnfc.us/gamecast/statistics/id/288858/statistics.html	Jan 30, 2010	Jan 30, 2010	FT	Primera División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/5265.png&w=22&site=espnfc	Guaraní	5265	Guaraní	1	1		0	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2670.png&w=22&site=espnfc	Libertad	2670	Libertad	Prim	Primera División de Paraguay
2010	1892	primera+división+de+paraguay	2670	libertad	Libertad	http://www.espnfc.us/club/libertad/2670/index	288864	http://www.espnfc.us/gamecast/statistics/id/288864/statistics.html	Feb 6, 2010	Feb 6, 2010	FT	Primera División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2670.png&w=22&site=espnfc	Libertad	2670	Libertad	2	2		1	2		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/10080.png&w=22&site=espnfc	Rubio Ñú	10080	Rubio Ñú	Prim	Primera División de Paraguay
2010	1892	primera+división+de+paraguay	2670	libertad	Libertad	http://www.espnfc.us/club/libertad/2670/index	288873	http://www.espnfc.us/gamecast/statistics/id/288873/statistics.html	Feb 12, 2010	Feb 12, 2010	FT	Primera División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/default-team-logo-500.png&w=22&site=espnfc	Tacuary		Tacuary F.C.	0	0		4	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2670.png&w=22&site=espnfc	Libertad	2670	Libertad	Prim	Primera División de Paraguay
2010	1892	primera+división+de+paraguay	2670	libertad	Libertad	http://www.espnfc.us/club/libertad/2670/index	288884	http://www.espnfc.us/gamecast/statistics/id/288884/statistics.html	Feb 21, 2010	Feb 21, 2010	FT	Primera División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/default-team-logo-500.png&w=22&site=espnfc	Trinidense		Trinidense	1	1		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2670.png&w=22&site=espnfc	Libertad	2670	Libertad	Prim	Primera División de Paraguay
2010	1892	primera+división+de+paraguay	2670	libertad	Libertad	http://www.espnfc.us/club/libertad/2670/index	288891	http://www.espnfc.us/gamecast/statistics/id/288891/statistics.html	Mar 1, 2010	Mar 1, 2010	FT	Primera División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2670.png&w=22&site=espnfc	Libertad	2670	Libertad	3	3		0	3		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/default-team-logo-500.png&w=22&site=espnfc	Sport Colombia		Sport Colomb	Prim	Primera División de Paraguay
2010	1892	primera+división+de+paraguay	2670	libertad	Libertad	http://www.espnfc.us/club/libertad/2670/index	288895	http://www.espnfc.us/gamecast/statistics/id/288895/statistics.html	Mar 6, 2010	Mar 6, 2010	FT	Primera División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/5581.png&w=22&site=espnfc	3 de Febrero	5581	3 de Febrero	0	0		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2670.png&w=22&site=espnfc	Libertad	2670	Libertad	Prim	Primera División de Paraguay
2010	1892	primera+división+de+paraguay	2670	libertad	Libertad	http://www.espnfc.us/club/libertad/2670/index	288877	http://www.espnfc.us/gamecast/statistics/id/288877/statistics.html	Mar 10, 2010	Mar 10, 2010	FT	Primera División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2670.png&w=22&site=espnfc	Libertad	2670	Libertad	0	0		1	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/5583.png&w=22&site=espnfc	Sportivo Luqueño	5583	Luqueño	Prim	Primera División de Paraguay
2010	1892	primera+división+de+paraguay	2670	libertad	Libertad	http://www.espnfc.us/club/libertad/2670/index	288902	http://www.espnfc.us/gamecast/statistics/id/288902/statistics.html	Mar 14, 2010	Mar 14, 2010	FT	Primera División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2670.png&w=22&site=espnfc	Libertad	2670	Libertad	0	0		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/5584.png&w=22&site=espnfc	Nacional	5584	Nacional	Prim	Primera División de Paraguay
2010	1892	primera+división+de+paraguay	2670	libertad	Libertad	http://www.espnfc.us/club/libertad/2670/index	288916	http://www.espnfc.us/gamecast/statistics/id/288916/statistics.html	Mar 20, 2010	Mar 20, 2010	FT	Primera División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2670.png&w=22&site=espnfc	Libertad	2670	Libertad	0	0		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2675.png&w=22&site=espnfc	Olimpia	2675	Olimpia	Prim	Primera División de Paraguay
2010	1892	primera+división+de+paraguay	2670	libertad	Libertad	http://www.espnfc.us/club/libertad/2670/index	288917	http://www.espnfc.us/gamecast/statistics/id/288917/statistics.html	Mar 26, 2010	Mar 26, 2010	FT	Primera División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/7465.png&w=22&site=espnfc	Sol de América	7465	Sol de Améri	1	1		4	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2670.png&w=22&site=espnfc	Libertad	2670	Libertad	Prim	Primera División de Paraguay
