year	league_id	league_key	club_id	club_key	club_name	club_url	game_id	game_url	date	date_headline	status	league	home_logo_src	home_logo_alt	home_team_id	home_team_name	home_score	home_goals	home_pk	away_score	away_goals	away_pk	away_logo_src	away_logo_alt	away_team_id	away_team_name	competition	title
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459530	http://www.espnfc.us/match?gameId=459530	Aug 21, 2016	Aug 21, 2016	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/100.png&w=22&site=espnfc	Numancia	100	Numancia	0	0		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459516	http://www.espnfc.us/match?gameId=459516	Aug 28, 2016	Aug 28, 2016	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	2	2		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/11121.png&w=22&site=espnfc	AD Alcorcon	11121	AD Alcorcon	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459508	http://www.espnfc.us/match?gameId=459508	Sep 4, 2016	Sep 4, 2016	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/4492.png&w=22&site=espnfc	Gimnastic de Tarragona	4492	Gimnastic	1	1		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	460891	http://www.espnfc.us/match?gameId=460891	Sep 7, 2016	Sep 7, 2016	FT-Pens	Copa del Rey	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/3842.png&w=22&site=espnfc	Cádiz	3842	Cádiz	(3) 1	1	3	1 (2)	1	2	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	Esp Cup	Spanish Copa del Rey
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459503	http://www.espnfc.us/match?gameId=459503	Sep 10, 2016	Sep 10, 2016	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	4	4		2	2		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/91.png&w=22&site=espnfc	Real Zaragoza	91	R Zaragoza	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459487	http://www.espnfc.us/match?gameId=459487	Sep 17, 2016	Sep 17, 2016	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/8447.png&w=22&site=espnfc	Cordoba	8447	Cordoba	1	1		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459482	http://www.espnfc.us/match?gameId=459482	Sep 21, 2016	Sep 21, 2016	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	1	1		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/8449.png&w=22&site=espnfc	Sevilla Atletico	8449	Sevilla At.	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459464	http://www.espnfc.us/match?gameId=459464	Sep 24, 2016	Sep 24, 2016	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/3751.png&w=22&site=espnfc	Elche	3751	Elche	0	0		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459458	http://www.espnfc.us/match?gameId=459458	Oct 2, 2016	Oct 2, 2016	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	3	3		2	2		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/95.png&w=22&site=espnfc	Real Valladolid	95	Valladolid	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459443	http://www.espnfc.us/match?gameId=459443	Oct 9, 2016	Oct 9, 2016	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/6832.png&w=22&site=espnfc	Almeria	6832	Almeria	2	2		2	2		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459432	http://www.espnfc.us/match?gameId=459432	Oct 15, 2016	Oct 15, 2016	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	2	2		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/84.png&w=22&site=espnfc	Mallorca	84	Mallorca	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459421	http://www.espnfc.us/match?gameId=459421	Oct 23, 2016	Oct 23, 2016	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/4515.png&w=22&site=espnfc	Mirandes	4515	Mirandes	0	0		3	3		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459409	http://www.espnfc.us/match?gameId=459409	Oct 30, 2016	Oct 30, 2016	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	1	1		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2922.png&w=22&site=espnfc	Getafe	2922	Getafe	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459399	http://www.espnfc.us/match?gameId=459399	Nov 6, 2016	Nov 6, 2016	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/17884.png&w=22&site=espnfc	Reus Deportiu	17884	Reus Deporti	0	0		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459385	http://www.espnfc.us/match?gameId=459385	Nov 12, 2016	Nov 12, 2016	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	0	0		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/3842.png&w=22&site=espnfc	Cádiz	3842	Cádiz	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459377	http://www.espnfc.us/match?gameId=459377	Nov 19, 2016	Nov 19, 2016	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/92.png&w=22&site=espnfc	Real Oviedo	92	Real Oviedo	2	2		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459356	http://www.espnfc.us/match?gameId=459356	Dec 4, 2016	Dec 4, 2016	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/9812.png&w=22&site=espnfc	Girona	9812	Girona	2	2		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459349	http://www.espnfc.us/match?gameId=459349	Dec 10, 2016	Dec 10, 2016	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	1	1		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/245.png&w=22&site=espnfc	Tenerife	245	Tenerife	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459369	http://www.espnfc.us/match?gameId=459369	Dec 14, 2016	Dec 14, 2016	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	1	1		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/101.png&w=22&site=espnfc	Rayo Vallecano	101	Rayo	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459321	http://www.espnfc.us/match?gameId=459321	Jan 7, 2017	Jan 7, 2017	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	1	1		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/7266.png&w=22&site=espnfc	Lugo	7266	Lugo	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459334	http://www.espnfc.us/match?gameId=459334	Jan 11, 2017	Jan 11, 2017	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/12594.png&w=22&site=espnfc	UCAM Murcia	12594	UCAM Murcia	0	0		2	2		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459312	http://www.espnfc.us/match?gameId=459312	Jan 15, 2017	Jan 15, 2017	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/5413.png&w=22&site=espnfc	Huesca	5413	Huesca	0	0		2	2		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459303	http://www.espnfc.us/match?gameId=459303	Jan 22, 2017	Jan 22, 2017	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	1	1		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/100.png&w=22&site=espnfc	Numancia	100	Numancia	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459288	http://www.espnfc.us/match?gameId=459288	Jan 28, 2017	Jan 28, 2017	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/11121.png&w=22&site=espnfc	AD Alcorcon	11121	AD Alcorcon	2	2		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459278	http://www.espnfc.us/match?gameId=459278	Feb 5, 2017	Feb 5, 2017	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	2	2		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/4492.png&w=22&site=espnfc	Gimnastic de Tarragona	4492	Gimnastic	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459266	http://www.espnfc.us/match?gameId=459266	Feb 11, 2017	Feb 11, 2017	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/91.png&w=22&site=espnfc	Real Zaragoza	91	R Zaragoza	0	0		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459253	http://www.espnfc.us/match?gameId=459253	Feb 18, 2017	Feb 18, 2017	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	3	3		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/8447.png&w=22&site=espnfc	Cordoba	8447	Cordoba	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459245	http://www.espnfc.us/match?gameId=459245	Feb 26, 2017	Feb 26, 2017	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/8449.png&w=22&site=espnfc	Sevilla Atletico	8449	Sevilla At.	1	1		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459233	http://www.espnfc.us/match?gameId=459233	Mar 5, 2017	Mar 5, 2017	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	2	2		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/3751.png&w=22&site=espnfc	Elche	3751	Elche	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459222	http://www.espnfc.us/match?gameId=459222	Mar 11, 2017	Mar 11, 2017	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/95.png&w=22&site=espnfc	Real Valladolid	95	Valladolid	0	0		4	4		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459208	http://www.espnfc.us/match?gameId=459208	Mar 19, 2017	Mar 19, 2017	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	1	1		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/6832.png&w=22&site=espnfc	Almeria	6832	Almeria	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459201	http://www.espnfc.us/match?gameId=459201	Mar 25, 2017	Mar 25, 2017	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/84.png&w=22&site=espnfc	Mallorca	84	Mallorca	1	1		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459191	http://www.espnfc.us/match?gameId=459191	Apr 1, 2017	Apr 1, 2017	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	2	2		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/4515.png&w=22&site=espnfc	Mirandes	4515	Mirandes	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459179	http://www.espnfc.us/match?gameId=459179	Apr 8, 2017	Apr 8, 2017	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/2922.png&w=22&site=espnfc	Getafe	2922	Getafe	2	2		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459174	http://www.espnfc.us/match?gameId=459174	Apr 17, 2017	Apr 17, 2017	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	0	0		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/17884.png&w=22&site=espnfc	Reus Deportiu	17884	Reus Deporti	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459157	http://www.espnfc.us/match?gameId=459157	Apr 22, 2017	Apr 22, 2017	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/3842.png&w=22&site=espnfc	Cádiz	3842	Cádiz	1	1		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459150	http://www.espnfc.us/match?gameId=459150	Apr 29, 2017	Apr 29, 2017	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	1	1		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/92.png&w=22&site=espnfc	Real Oviedo	92	Real Oviedo	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459135	http://www.espnfc.us/match?gameId=459135	May 6, 2017	May 6, 2017	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/101.png&w=22&site=espnfc	Rayo Vallecano	101	Rayo	2	2		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459122	http://www.espnfc.us/match?gameId=459122	May 13, 2017	May 13, 2017	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	2	2		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/9812.png&w=22&site=espnfc	Girona	9812	Girona	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459114	http://www.espnfc.us/match?gameId=459114	May 20, 2017	May 20, 2017	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/245.png&w=22&site=espnfc	Tenerife	245	Tenerife	0	0		0	0		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	Seg	Spanish Segunda División
2016	107	spanish+segunda+division	1538	levante	Levante	http://www.espnfc.us/club/levante/1538/index	459108	http://www.espnfc.us/match?gameId=459108	May 26, 2017	May 26, 2017	FT	Segunda División	http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1538.png&w=22&site=espnfc	Levante	1538	Levante	3	3		1	1		http://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/12594.png&w=22&site=espnfc	UCAM Murcia	12594	UCAM Murcia	Seg	Spanish Segunda División
