BEGIN
CREATE TABLE
INSERT 0 208
 rk  |           team           |  str  |  ofs  |  dfs  |  sos  
-----+--------------------------+-------+-------+-------+-------
   1 | Brazil                   |  2.68 |  1.48 | -1.20 |  1.63
   2 | Argentina                |  2.58 |  1.20 | -1.38 |  1.63
   3 | Spain                    |  2.50 |  1.32 | -1.18 |  1.35
   4 | Colombia                 |  2.31 |  1.02 | -1.29 |  1.55
   5 | France                   |  2.22 |  1.03 | -1.19 |  1.54
   6 | England                  |  2.20 |  1.14 | -1.07 |  1.26
   7 | Uruguay                  |  2.09 |  1.26 | -0.83 |  1.58
   8 | Netherlands              |  2.08 |  1.19 | -0.89 |  1.39
   9 | Mexico                   |  2.07 |  0.98 | -1.10 |  1.23
  10 | Germany                  |  2.07 |  1.41 | -0.66 |  1.45
  11 | Belgium                  |  2.03 |  1.15 | -0.88 |  1.30
  12 | Chile                    |  2.01 |  1.18 | -0.83 |  1.64
  13 | Croatia                  |  1.93 |  0.98 | -0.96 |  1.02
  14 | Ukraine                  |  1.86 |  0.86 | -1.00 |  1.12
  15 | Portugal                 |  1.85 |  0.88 | -0.97 |  1.28
  16 | Ecuador                  |  1.85 |  1.00 | -0.85 |  1.62
  17 | Russia                   |  1.82 |  0.92 | -0.89 |  1.05
  18 | Italy                    |  1.71 |  0.87 | -0.84 |  1.39
  19 | Turkey                   |  1.69 |  0.94 | -0.75 |  1.27
  20 | Japan                    |  1.68 |  0.85 | -0.82 |  0.89
  21 | Sweden                   |  1.64 |  0.83 | -0.80 |  1.21
  22 | Romania                  |  1.62 |  0.72 | -0.90 |  1.07
  23 | Slovakia                 |  1.59 |  0.80 | -0.80 |  0.97
  24 | USA                      |  1.58 |  0.98 | -0.60 |  1.21
  25 | Bosnia and Herzegovina   |  1.57 |  0.99 | -0.58 |  1.13
  26 | Paraguay                 |  1.56 |  0.65 | -0.90 |  1.53
  27 | Peru                     |  1.55 |  0.66 | -0.89 |  1.56
  28 | Cote d'Ivoire            |  1.54 |  0.85 | -0.69 |  0.99
  29 | Switzerland              |  1.53 |  0.74 | -0.80 |  1.10
  30 | Egypt                    |  1.52 |  1.01 | -0.51 |  0.78
  31 | Poland                   |  1.52 |  0.73 | -0.79 |  1.03
  32 | Ghana                    |  1.49 |  0.72 | -0.77 |  0.87
  33 | Serbia                   |  1.48 |  0.84 | -0.64 |  1.26
  34 | Austria                  |  1.46 |  0.96 | -0.51 |  1.24
  35 | Nigeria                  |  1.45 |  0.55 | -0.90 |  0.96
  36 | Senegal                  |  1.45 |  0.86 | -0.59 |  0.89
  37 | Korea Republic           |  1.45 |  0.72 | -0.73 |  0.96
  38 | Australia                |  1.44 |  0.71 | -0.74 |  0.79
  39 | Algeria                  |  1.40 |  0.72 | -0.68 |  0.78
  40 | Denmark                  |  1.39 |  0.85 | -0.54 |  1.33
  41 | Costa Rica               |  1.39 |  0.60 | -0.79 |  1.01
  42 | Czech Republic           |  1.39 |  0.67 | -0.72 |  1.11
  43 | Scotland                 |  1.38 |  0.70 | -0.68 |  1.24
  44 | Morocco                  |  1.37 |  0.61 | -0.76 |  0.72
  45 | Cameroon                 |  1.37 |  0.44 | -0.93 |  0.95
  46 | Republic of Ireland      |  1.36 |  0.58 | -0.78 |  1.28
  47 | Iceland                  |  1.33 |  0.79 | -0.55 |  0.88
  48 | Iran                     |  1.32 |  0.52 | -0.80 |  0.46
  49 | South Africa             |  1.27 |  0.37 | -0.90 |  0.91
  50 | Hungary                  |  1.23 |  0.70 | -0.53 |  0.95
  51 | Norway                   |  1.19 |  0.60 | -0.58 |  1.22
  52 | Guinea                   |  1.17 |  0.75 | -0.43 |  0.83
  53 | Congo DR                 |  1.16 |  0.64 | -0.52 |  0.61
  54 | Panama                   |  1.11 |  0.44 | -0.67 |  0.81
  55 | Albania                  |  1.11 |  0.28 | -0.83 |  0.94
  56 | Belarus                  |  1.10 |  0.43 | -0.67 |  1.02
  57 | Mali                     |  1.04 |  0.76 | -0.29 |  0.75
  58 | Slovenia                 |  1.04 |  0.54 | -0.50 |  1.05
  59 | Tunisia                  |  1.01 |  0.54 | -0.47 |  0.74
  60 | Venezuela                |  1.01 |  0.63 | -0.38 |  1.44
  61 | Bulgaria                 |  1.00 |  0.59 | -0.41 |  1.08
  62 | Uzbekistan               |  0.99 |  0.53 | -0.45 |  0.48
  63 | Uganda                   |  0.98 |  0.37 | -0.61 |  0.31
  64 | Zambia                   |  0.96 |  0.11 | -0.85 |  0.53
  65 | Wales                    |  0.93 |  0.39 | -0.54 |  1.15
  66 | Israel                   |  0.89 |  0.78 | -0.11 |  0.97
