BEGIN
CREATE TABLE
INSERT 0 178
 rk  |           team           |  str  |  ofs  |  dfs  |  sos  
-----+--------------------------+-------+-------+-------+-------
   1 | USA                      |  5.64 |  2.86 | -2.78 |  4.00
   2 | Germany                  |  5.48 |  2.87 | -2.61 |  4.00
   3 | France                   |  5.33 |  2.64 | -2.69 |  3.58
   4 | Japan                    |  4.99 |  2.50 | -2.50 |  3.94
   5 | Brazil                   |  4.74 |  2.19 | -2.55 |  3.83
   6 | England                  |  4.64 |  2.38 | -2.26 |  3.59
   7 | Sweden                   |  4.62 |  2.47 | -2.15 |  4.02
   8 | Canada                   |  4.53 |  2.17 | -2.37 |  4.05
   9 | Korea DPR                |  4.36 |  2.04 | -2.32 |  3.71
  10 | Australia                |  4.32 |  2.43 | -1.89 |  3.68
  11 | Norway                   |  4.19 |  2.17 | -2.02 |  3.74
  12 | Netherlands              |  4.17 |  2.17 | -2.00 |  3.53
  13 | Denmark                  |  4.13 |  1.99 | -2.15 |  3.44
  14 | Italy                    |  3.90 |  1.99 | -1.90 |  3.40
  15 | Korea Republic           |  3.84 |  1.88 | -1.96 |  3.08
  16 | Spain                    |  3.84 |  1.91 | -1.93 |  2.81
  17 | New Zealand              |  3.83 |  1.79 | -2.04 |  3.44
  18 | Scotland                 |  3.78 |  2.16 | -1.62 |  3.34
  19 | China PR                 |  3.75 |  1.61 | -2.13 |  3.87
  20 | Switzerland              |  3.70 |  2.17 | -1.52 |  3.37
  21 | Colombia                 |  3.59 |  1.65 | -1.94 |  3.08
  22 | Iceland                  |  3.55 |  1.81 | -1.74 |  3.38
  23 | Mexico                   |  3.51 |  1.82 | -1.69 |  3.64
  24 | Nigeria                  |  3.43 |  1.71 | -1.73 |  2.67
  25 | Belgium                  |  3.43 |  1.80 | -1.63 |  3.00
  26 | Russia                   |  3.35 |  1.81 | -1.55 |  3.17
  27 | Ukraine                  |  3.29 |  1.66 | -1.62 |  2.67
  28 | Equatorial Guinea        |  3.22 |  1.78 | -1.44 |  1.83
  29 | Finland                  |  3.22 |  1.71 | -1.52 |  3.45
  30 | Austria                  |  3.20 |  1.86 | -1.34 |  2.59
  31 | Cameroon                 |  3.04 |  1.27 | -1.77 |  2.19
  32 | Poland                   |  2.92 |  1.70 | -1.23 |  2.49
  33 | Republic of Ireland      |  2.91 |  1.23 | -1.68 |  3.32
  34 | Wales                    |  2.78 |  1.39 | -1.39 |  2.62
  35 | Chile                    |  2.78 |  1.37 | -1.41 |  3.14
  36 | Portugal                 |  2.72 |  1.42 | -1.30 |  2.88
  37 | Paraguay                 |  2.65 |  1.84 | -0.81 |  2.68
  38 | Cote d'Ivoire            |  2.56 |  1.66 | -0.90 |  1.69
  39 | Costa Rica               |  2.54 |  1.34 | -1.20 |  2.47
  40 | Czech Republic           |  2.54 |  1.17 | -1.37 |  2.64
  41 | Ghana                    |  2.53 |  1.31 | -1.22 |  1.56
  42 | Romania                  |  2.38 |  1.16 | -1.22 |  2.57
  43 | Argentina                |  2.35 |  0.77 | -1.58 |  3.37
  44 | South Africa             |  2.34 |  1.16 | -1.18 |  2.02
  45 | Jamaica                  |  2.22 |  1.42 | -0.79 |  1.55
  46 | Hungary                  |  2.18 |  1.54 | -0.64 |  2.50
  47 | Slovakia                 |  2.08 |  1.07 | -1.01 |  2.50
  48 | Serbia                   |  2.07 |  1.26 | -0.81 |  2.42
  49 | Trinidad and Tobago      |  1.97 |  0.96 | -1.02 |  1.56
  50 | Ecuador                  |  1.83 |  0.91 | -0.92 |  2.49
  51 | Venezuela                |  1.79 |  0.97 | -0.82 |  1.90
  52 | Zimbabwe                 |  1.65 |  0.90 | -0.75 |  1.15
  53 | Thailand                 |  1.57 |  0.97 | -0.60 |  0.89
  54 | Croatia                  |  1.57 |  0.76 | -0.81 |  2.13
  55 | Vietnam                  |  1.48 |  0.77 | -0.71 |  0.68
  56 | Haiti                    |  1.44 |  0.50 | -0.94 |  0.63
  57 | Bosnia and Herzegovina   |  1.43 |  0.44 | -0.98 |  1.82
  58 | Slovenia                 |  1.36 |  0.91 | -0.45 |  2.46
  59 | Ethiopia                 |  1.30 |  0.33 | -0.97 |  1.88
  60 | Northern Ireland         |  1.28 |  0.22 | -1.06 |  2.80
  61 | Algeria                  |  1.26 |  0.76 | -0.50 |  1.50
  62 | Turkey                   |  1.24 |  0.83 | -0.41 |  2.03
  63 | Myanmar                  |  1.24 |  0.66 | -0.58 |  0.44
  64 | Chinese Taipei           |  1.21 |  0.46 | -0.75 |  1.40
  65 | Belarus                  |  1.07 |  0.61 | -0.46 |  2.14
  66 | Tanzania                 |  1.07 |  0.93 | -0.14 |  1.38
  67 | Israel                   |  1.04 |  0.48 | -0.56 |  2.60
  68 | Gabon                    |  1.00 |  0.90 | -0.11 |  2.45
  69 | Kazakhstan               |  0.90 |  0.40 | -0.50 |  2.28
  70 | Zambia                   |  0.89 |  0.62 | -0.27 |  1.46
  71 | Tunisia                  |  0.88 |  0.68 | -0.20 |  1.10
