team_name,eg_reg,opponent_name,eg_reg,win,lose,win_reg,lose_reg,tie_reg,win_ot,lose_ot,win_pk,lose_pk
Australia,0.8,Brazil,1.3,0.363,0.637,0.237,0.474,0.289,0.050,0.086,0.076,0.076
Australia,1.9,Cameroon,0.5,0.857,0.143,0.723,0.081,0.196,0.088,0.016,0.046,0.046
Australia,0.8,Canada,1.4,0.324,0.676,0.209,0.517,0.273,0.044,0.089,0.070,0.070
Australia,1.2,China PR,0.7,0.657,0.343,0.485,0.214,0.301,0.089,0.046,0.083,0.083
Australia,1.6,Colombia,0.7,0.737,0.263,0.582,0.165,0.254,0.092,0.035,0.064,0.064
Australia,1.1,England,1.5,0.392,0.608,0.276,0.466,0.258,0.055,0.081,0.061,0.061
Australia,0.7,France,1.9,0.207,0.793,0.134,0.657,0.209,0.027,0.088,0.047,0.047
Australia,0.7,Germany,2.6,0.129,0.871,0.085,0.767,0.148,0.015,0.077,0.028,0.028
Australia,0.9,Japan,1.7,0.278,0.722,0.185,0.577,0.238,0.037,0.089,0.056,0.056
Australia,1.4,Korea Republic,0.9,0.639,0.361,0.486,0.244,0.270,0.085,0.050,0.068,0.068
Australia,1.4,Netherlands,1.2,0.543,0.457,0.406,0.332,0.262,0.074,0.064,0.062,0.062
Australia,1.3,Norway,1.2,0.527,0.473,0.392,0.344,0.264,0.072,0.066,0.063,0.063
Australia,1.2,Sweden,1.7,0.373,0.627,0.267,0.492,0.241,0.052,0.081,0.054,0.054
Australia,2.2,Switzerland,1.3,0.707,0.293,0.585,0.214,0.201,0.082,0.040,0.040,0.040
Australia,0.7,USA,2.5,0.127,0.873,0.082,0.765,0.152,0.015,0.078,0.030,0.030
Brazil,1.3,Australia,0.8,0.637,0.363,0.474,0.237,0.289,0.086,0.050,0.076,0.076
Brazil,1.5,Cameroon,0.2,0.867,0.133,0.703,0.054,0.242,0.097,0.012,0.067,0.067
Brazil,0.6,Canada,0.7,0.469,0.531,0.277,0.329,0.394,0.064,0.074,0.128,0.128
Brazil,1.0,China PR,0.4,0.717,0.283,0.500,0.133,0.367,0.099,0.032,0.118,0.118
Brazil,1.2,Colombia,0.3,0.782,0.218,0.592,0.104,0.304,0.100,0.024,0.090,0.090
Brazil,0.9,England,0.8,0.537,0.463,0.356,0.294,0.350,0.075,0.064,0.105,0.105
Brazil,0.6,France,1.0,0.368,0.632,0.213,0.438,0.349,0.049,0.088,0.106,0.106
Brazil,0.6,Germany,1.3,0.287,0.713,0.168,0.538,0.294,0.037,0.094,0.082,0.082
Brazil,0.7,Japan,0.9,0.436,0.564,0.266,0.374,0.360,0.060,0.079,0.110,0.110
Brazil,1.1,Korea Republic,0.5,0.716,0.284,0.522,0.152,0.326,0.096,0.035,0.097,0.097
Brazil,1.1,Netherlands,0.6,0.654,0.346,0.470,0.206,0.324,0.090,0.046,0.094,0.094
Brazil,1.1,Norway,0.6,0.642,0.358,0.457,0.213,0.330,0.089,0.048,0.097,0.097
Brazil,0.9,Sweden,0.8,0.528,0.472,0.359,0.311,0.330,0.074,0.066,0.095,0.095
Brazil,1.7,Switzerland,0.6,0.787,0.213,0.641,0.132,0.228,0.091,0.027,0.055,0.055
Brazil,0.5,USA,1.2,0.282,0.718,0.161,0.537,0.303,0.036,0.095,0.086,0.086
Cameroon,0.5,Australia,1.9,0.143,0.857,0.081,0.723,0.196,0.016,0.088,0.046,0.046
Cameroon,0.2,Brazil,1.5,0.133,0.867,0.054,0.703,0.242,0.012,0.097,0.067,0.067
Cameroon,0.2,Canada,1.7,0.111,0.889,0.046,0.740,0.214,0.009,0.092,0.056,0.056
Cameroon,0.3,China PR,0.8,0.320,0.680,0.147,0.449,0.404,0.037,0.095,0.136,0.136
Cameroon,0.4,Colombia,0.8,0.364,0.636,0.187,0.417,0.396,0.046,0.089,0.131,0.131
Cameroon,0.3,England,1.8,0.122,0.878,0.059,0.736,0.205,0.012,0.090,0.051,0.051
Cameroon,0.2,France,2.3,0.056,0.944,0.024,0.847,0.129,0.004,0.069,0.027,0.027
Cameroon,0.2,Germany,3.0,0.026,0.974,0.013,0.918,0.070,0.002,0.045,0.012,0.012
Cameroon,0.2,Japan,2.0,0.081,0.919,0.036,0.801,0.163,0.007,0.080,0.038,0.038
Cameroon,0.4,Korea Republic,1.1,0.273,0.727,0.138,0.526,0.336,0.032,0.098,0.103,0.103
Cameroon,0.4,Netherlands,1.4,0.194,0.806,0.100,0.637,0.263,0.022,0.097,0.072,0.072
Cameroon,0.4,Norway,1.5,0.187,0.813,0.095,0.645,0.260,0.021,0.097,0.071,0.071
Cameroon,0.3,Sweden,2.0,0.104,0.896,0.053,0.771,0.176,0.010,0.084,0.041,0.041
Cameroon,0.6,Switzerland,1.5,0.256,0.744,0.156,0.583,0.261,0.033,0.093,0.067,0.067
Cameroon,0.2,USA,2.9,0.027,0.973,0.013,0.912,0.075,0.002,0.047,0.013,0.013
Canada,1.4,Australia,0.8,0.676,0.324,0.517,0.209,0.273,0.089,0.044,0.070,0.070
Canada,0.7,Brazil,0.6,0.531,0.469,0.329,0.277,0.394,0.074,0.064,0.128,0.128
Canada,1.7,Cameroon,0.2,0.889,0.111,0.740,0.046,0.214,0.092,0.009,0.056,0.056
Canada,1.1,China PR,0.3,0.746,0.254,0.539,0.118,0.343,0.100,0.028,0.107,0.107
Canada,1.4,Colombia,0.3,0.810,0.190,0.632,0.091,0.278,0.099,0.020,0.079,0.079
Canada,1.0,England,0.7,0.573,0.427,0.392,0.268,0.340,0.080,0.059,0.100,0.100
Canada,0.6,France,0.9,0.399,0.601,0.239,0.411,0.350,0.054,0.084,0.106,0.106
Canada,0.6,Germany,1.2,0.316,0.684,0.191,0.509,0.300,0.042,0.091,0.083,0.083
Canada,0.7,Japan,0.8,0.470,0.530,0.296,0.348,0.356,0.065,0.074,0.108,0.108
Canada,1.2,Korea Republic,0.4,0.748,0.252,0.562,0.134,0.303,0.098,0.030,0.088,0.088
Canada,1.2,Netherlands,0.6,0.690,0.310,0.511,0.183,0.306,0.092,0.041,0.086,0.086
Canada,1.2,Norway,0.6,0.678,0.322,0.497,0.191,0.312,0.092,0.042,0.089,0.089
Canada,1.0,Sweden,0.8,0.565,0.435,0.396,0.283,0.321,0.079,0.061,0.091,0.091
Canada,1.9,Switzerland,0.6,0.820,0.180,0.684,0.111,0.205,0.089,0.022,0.047,0.047
Canada,0.6,USA,1.2,0.311,0.689,0.182,0.509,0.309,0.041,0.093,0.088,0.088
China PR,0.7,Australia,1.2,0.343,0.657,0.214,0.485,0.301,0.046,0.089,0.083,0.083
