rk,team,str,ofs,dfs,sos
1,Seattle,0.44,0.23,-0.22,-0.01
2,NYCFC,0.35,0.18,-0.17,-0.05
3,Columbus,0.30,0.01,-0.29,-0.03
4,Orlando City,0.27,0.09,-0.18,-0.01
5,Austin FC,0.22,0.06,-0.16,0.05
6,Los Angeles FC,0.17,0.19,0.02,0.04
7,New England,0.13,-0.03,-0.16,-0.03
8,Philadelphia,0.11,0.02,-0.10,0.00
9,FC Dallas,0.08,-0.03,-0.11,0.01
10,Portland,0.04,0.11,0.07,0.02
11,Sporting KC,0.03,0.07,0.05,-0.05
12,Colorado,0.00,0.01,0.02,0.00
13,Real Salt Lake,-0.03,0.02,0.05,0.02
14,Minnesota,-0.03,0.04,0.07,0.01
15,Nashville,-0.04,-0.13,-0.09,-0.01
16,Atlanta,-0.06,-0.10,-0.03,-0.06
17,San Jose,-0.08,0.17,0.24,0.00
18,NY Red Bulls,-0.08,-0.01,0.07,-0.05
19,Toronto FC,-0.09,0.00,0.09,-0.03
20,Montreal,-0.09,0.06,0.16,0.01
21,Houston,-0.12,-0.02,0.09,0.01
22,Miami,-0.15,-0.08,0.07,0.02
23,Vancouver,-0.21,-0.13,0.08,0.00
24,LA Galaxy,-0.24,0.00,0.24,0.03
25,Chicago,-0.25,-0.02,0.23,0.03
26,D.C. United,-0.31,-0.11,0.20,0.00
27,FC Cincinnati,-0.53,-0.29,0.24,0.03
