BEGIN
 year | div | div | won  | lost | tied | count 
------+-----+-----+------+------+------+-------
 2002 |   3 |   3 |    5 |    5 |    0 |    10
 2003 |   1 |   1 | 3494 | 3494 |  644 |  7632
 2003 |   1 |   2 |   61 |   12 |    9 |    82
 2003 |   1 |   3 |   21 |   13 |    3 |    37
 2003 |   2 |   2 | 2045 | 2045 |  304 |  4394
 2003 |   2 |   3 |  138 |   77 |   12 |   227
 2003 |   3 |   3 | 4967 | 4967 |  828 | 10762
 2004 |   1 |   1 | 3462 | 3462 |  952 |  7876
 2004 |   1 |   2 |   62 |   34 |    8 |   104
 2004 |   1 |   3 |   46 |   36 |    7 |    89
 2004 |   2 |   2 | 2024 | 2024 |  392 |  4440
 2004 |   2 |   3 |   76 |   40 |    7 |   123
 2004 |   3 |   3 | 5017 | 5017 |  900 | 10934
 2005 |   1 |   1 | 3412 | 3412 |  780 |  7604
 2005 |   1 |   2 |   28 |   12 |    2 |    42
 2005 |   1 |   3 |   29 |   21 |    2 |    52
 2005 |   2 |   2 | 2154 | 2154 |  414 |  4722
 2005 |   2 |   3 |   60 |   45 |    9 |   114
 2005 |   3 |   3 | 5227 | 5227 |  876 | 11330
 2006 |   1 |   1 | 3296 | 3296 |  976 |  7568
 2006 |   1 |   2 |   20 |   11 |    1 |    32
 2006 |   1 |   3 |   21 |   17 |    4 |    42
 2006 |   2 |   2 | 2304 | 2304 |  420 |  5028
 2006 |   2 |   3 |   51 |   61 |    5 |   117
 2006 |   3 |   3 | 5550 | 5550 | 1082 | 12182
 2007 |   1 |   1 | 3298 | 3298 |  880 |  7476
 2007 |   1 |   2 |   19 |    4 |    1 |    24
 2007 |   1 |   3 |   20 |   27 |    7 |    54
 2007 |   2 |   2 | 2207 | 2207 |  532 |  4946
 2007 |   2 |   3 |   47 |   57 |    6 |   110
 2007 |   3 |   3 | 5719 | 5719 | 1046 | 12484
 2008 |   1 |   1 | 3358 | 3358 | 1064 |  7780
 2008 |   1 |   2 |   20 |   16 |    2 |    38
 2008 |   1 |   3 |   35 |   23 |    2 |    60
 2008 |   2 |   2 | 2385 | 2385 |  478 |  5248
 2008 |   2 |   3 |   77 |   43 |    5 |   125
 2008 |   3 |   3 | 5830 | 5830 |  966 | 12626
 2009 |   1 |   1 | 3346 | 3346 | 1064 |  7756
 2009 |   1 |   2 |   21 |   26 |    3 |    50
 2009 |   1 |   3 |   21 |   20 |    2 |    43
 2009 |   2 |   2 | 2602 | 2602 |  560 |  5764
 2009 |   2 |   3 |   63 |   30 |   10 |   103
 2009 |   3 |   3 | 6093 | 6093 | 1166 | 13352
 2010 |   1 |   1 | 3326 | 3326 |  904 |  7556
 2010 |   1 |   2 |   18 |    0 |    0 |    18
 2010 |   1 |   3 |   10 |   17 |    2 |    29
 2010 |   2 |   2 | 2634 | 2634 |  486 |  5754
 2010 |   2 |   3 |   52 |   30 |    7 |    89
 2010 |   3 |   3 | 6133 | 6133 | 1232 | 13498
 2011 |   1 |   1 | 3311 | 3311 |  998 |  7620
 2011 |   1 |   2 |   11 |    3 |    0 |    14
 2011 |   1 |   3 |    4 |   14 |    2 |    20
 2011 |   2 |   2 | 2526 | 2526 |  502 |  5554
 2011 |   2 |   3 |   33 |   29 |    6 |    68
 2011 |   3 |   3 | 6220 | 6220 | 1304 | 13744
 2012 |   1 |   1 | 3392 | 3392 |  968 |  7752
 2012 |   1 |   2 |   12 |    4 |    0 |    16
 2012 |   1 |   3 |    3 |    0 |    0 |     3
 2012 |   2 |   2 | 2622 | 2622 |  532 |  5776
 2012 |   2 |   3 |   26 |   10 |    6 |    42
 2012 |   3 |   3 | 6440 | 6440 | 1164 | 14044
 2013 |   1 |   1 | 1992 | 1992 | 3200 |  7184
 2013 |   1 |   2 |    5 |    0 |    4 |     9
 2013 |   1 |   3 |    2 |    0 |    0 |     2
 2013 |   2 |   2 | 1478 | 1478 | 2168 |  5124
 2013 |   2 |   3 |   26 |   14 |   12 |    52
 2013 |   3 |   3 | 4044 | 4044 | 5056 | 13144
(67 rows)

COMMIT
